aaa	工艺
his	卢沟桥
hit	非常重要
hiw	非常会议
hix	非法组织
hiy	非常高兴
hja	旧式
hjc	2
hjd	卢旺达
hje	非暴力手段
hjf	㫖
hjg	旧事
hjh	眒
hjj	旧日
hjk	2
hjl	2
hjm	2
hjn	旧书
hjo	2
hjq	児
hjr	2
hju	2
hjv	2
hjx	㲃
hjy	2
hka	战区
hkb	点子
hkc	梷
hkd	战友
hke	占用
hkf	战士
hkg	睈
hkh	敁
hkj	战果
hkk	矂
hkl	旧中国
hkm	战败
hkn	点心
hko	点火
hkp	迠
hkq	点钟
hkr	战后
hks	战机
hkt	战乱
hku	点头
hkv	2
hkw	战俘
hkx	战绩
hla	2
hlc	2
hlf	战略地位
hlg	睤
hlh	战略上
hli	2
hlj	2
hll	战略转移
hlo	鹷
hlq	2
hlr	鹾
hlt	战略物资
hlu	战略部署
hlw	㮚
hlx	2
hma	睓
hmb	2
hmc	2
hme	2
hmf	睭
hmg	非同一般
hmh	2
hmj	2
hmk	2
hml	2
hmm	2
hmn	非同以往
hmo	2
hmq	2
hmr	2
hms	2
hmt	2
hmw	2
hmx	2
hna	虚怀若谷
hnb	凹陷
hnd	颅
hne	2
hnf	2
hng	上情下达
hnh	此情此景
hni	虚心学习
hnj	2
hnl	2
hnm	兕
hnn	㠯
hno	2
hnp	2
hnq	卢氏
hnr	悲惨的
hns	2
hnt	䀣
hnv	郻
hnw	虚情假意
hnx	眤
hny	2
hob	齢
hoc	2
hod	2
hoe	2
hof	2
hoh	2
hoj	2
hok	2
hol	2
hom	2
hon	2
hop	2
hos	2
hot	2
hou	2
hov	
how	2
hox	2
hpa	2
hpc	2
hpg	壑
hpi	2
hpj	肯定是
hpk	2
hpm	2
hpo	2
hpp	2
hpq	睕
hpr	2
hpu	2
hpx	2
hqa	眡
hqb	䀚
hqc	粲
hqd	餐厅
hqe	2
hqf	䙸
hqg	2
hqh	餐具
hqj	眴
hqk	眳
hql	战争罪犯
hqm	紫金山
hqp	2
hqq	餐馆
hqr	覐
hqs	2
hqu	㱑
hqw	皮包公司
hra	2
hrd	睎
hrf	上年增加
hrj	2
hrk	2
hrm	2
hro	2
hrp	矈
hrr	虚拟技术
hrs	2
hrv	2
hsa	2
hsb	2
hsc	2
hsd	2
hse	2
hsf	紫禁城
hsh	战术上
hsi	2
hsl	2
hsm	2
hso	2
hsp	2
hsq	2
hsr	2
hst	上述条件
hsx	2
hsy	2
hta	2
htc	2
htd	䀨
htf	频繁地
htg	瞬息万变
hth	眨眼
htj	2
htl	2
htm	矀
htn	䀥
hto	矁
htq	2
hts	2
htt	步行街
htu	非生产性建设
htv	2
hty	2
hua	2
hub	2
huc	2
hud	眹
hue	上门服务
huf	䀞
hug	眻
hui	2
huj	上半时
huk	2
hum	2
hup	2
huq	2
hur	上半年
hut	旧病复发
huu	战斗部队
huv	䁠
huw	此间人士
huy	2
hva	2
hvb	2
hvc	2
hvd	2
hve	眼力
hvf	2
hvg	睷
hvh	眼眸
hvi	眼泪
hvj	眼影
hvl	䁽
hvn	2
hvo	2
hvp	眼神
hvq	眼角
hvs	2
hvv	2
hvw	2
hvy	䀔
hwa	上个世纪
hwb	齿
hwd	睦邻友好
hwe	具体办法
hwf	具体地说
hwg	睽
hwh	瞧瞧
hwi	2
hwl	䡞
hwn	睺
hwp	具体实践
hwr	占优势
hws	督促检查
hwt	具体条件
hwu	具体问题
hwv	凣
hww	具体化
hwx	2
hwy	睢
hxa	柴草
hxb	2
hxc	2
hxd	雌雄
hxf	此地
hxg	㭰
hxi	柴油
hxj	歶
hxk	啙
hxl	2
hxm	颇费周折
hxn	雌性
hxq	此外
hxr	上级指示
hxs	上级机关
hxt	此行
hxu	此间
hxw	上级领导
hxx	紫红
hxy	此刻
hya	2
hyb	2
hyd	2
hye	2
hyf	2
hyh	2
hyi	2
hyj	2
hyk	瞓
hym	2
hyn	盳
hyo	2
hyp	2
hyq	2
hyr	瞝
hys	2
hyt	䁢
hyw	睟
hyx	䂅
iaa	灌区
iab	汇聚
iac	洞若观火
iad	淇
iae	满腔
iaf	江南
iag	满
iah	满目
iai	洪水
iaj	澫
iak	满足
ial	洪恩
iam	洪峰
ian	㲺
iao	光荣业绩
iap	滢
iaq	浇铸
iar	汇报
ias	江西
iat	港币
iau	满意
iav	潇
iaw	港
iay	汇率
ibb	消防队
ibc	溋
ibd	㴍
ibe	㶏
ibg	汓
ibi	洱海
ibj	㳱
ibk	濻
ibl	演出团
ibn	㳧
ibo	2
ibp	㴷
ibq	2
ibu	涵养
ibv	2
ibw	消除分歧
iby	沈阳市
ica	汗马功劳
icb	常驻联合国代表
icc	涰
icd	津巴布韦
ice	慂
icf	涌起
icg	治理
ici	滩涂
ick	汉中
icm	海参崴
icn	沀
ico	㶠
icp	治安
ics	治标
ict	涌入
icu	治病
icw	浚
icx	2
icy	汊
ida	没有共产党就没有新中国
idb	少不了
idc	沷
idd	湖面
ide	沥
idf	沯
idg	沰
idh	滟
idi	湖泊
idj	消耗量
idk	尖叫
idl	学成回国
idm	深有同感
idn	没有发生
ido	洃
idq	没有解决
idr	源泉
ids	没有想到
idt	澳大利亚
idu	潦
idw	小而全
idx	没有经验
idy	汏
iea	深受其害
ieb	举办了
iec	满脸通红
ied	浮夸
iee	浮肿
ief	㳫
ieg	㳉
ieh	漞
iei	溪水
iej	光彩照人
iek	泇
iem	没脸见人
ien	㶀
ieo	2
iep	常用字
ier	满腔热情
ies	滥用权力
iet	氻
ieu	水力资源
iew	浮华
iex	削弱
iey	水乳交融
ifa	污蔑
ifb	渎职
ifc	溘
ifd	潜在
ife	法办
iff	坔
ifg	波士顿
ifh	汁
ifi	河南省
ifj	瀚
ifk	澎
ifl	省直辖行政单位
ifm	法典
ifn	渎
ifo	浾
ifp	法官
ifq	学雷锋
ifr	深远的
ifs	省直机关
ift	法律
ifu	流动资金
ifv	2
ifw	法人
ifx	法纪
ify	济南市
iga	光芒
igb	清除
igc	光能
igd	＜
ige	浦
igf	兴起
igg	清理
igh	耀眼
igi	清洁
igj	清晰
igk	漱
igl	兴国
igm	渍
ign	汅
igo	省政府
igp	兴安
igq	光
igr	激烈的
igs	清楚
igt	光盘
igu	清单
igv	清剿
igw	兴
igx	光缆
igy	兴衰
iha	滹
ihb	小孩
ihc	婆
ihd	湨
ihe	涉县
ihf	小城
ihg	沚
ihh	濒
ihi	小学
ihj	小时
ihk	小品
ihl	小车
ihm	小贩
ihn	小心
iho	小数
ihp	涉案
ihq	小儿
ihr	小报
ihs	2
iht	波长
ihu	波音
ihv	涉嫌
ihw	波段
ihx	小结
ihy	泸州
iia	水工
iib	消防
iic	水能
iid	水面
iie	港澳办
iif	沿海地区
iig	消毒
iii	水
iij	水电
iik	水患
iil	海洛因
iim	港澳同胞
iin	江泽民同志
iio	光辉业绩
iip	淘汰赛
iiq	淡水鱼
iir	水质
iis	小学校
iit	娑
iiu	水准
iiv	婆婆妈妈
iiw	水位
iix	流水线
iiy	水文
ija	清明节
ijd	濒临破产
ijf	涅
ijg	汩
ijh	混战
iji	湿润
ijj	光明日报
ijk	温顺
ijl	温
ijm	混同
ijn	兴旺发达
ijo	温度
ijp	水旱灾害
ijq	温饱
ijr	温泉
ijs	巣
ijt	混乱
iju	温差
ijv	温暖如春
ijw	小时候
ijx	混纺
ijy	灏
ika	泥足巨人
ikb	濈
ikd	2
ikf	党员干部
ikg	塣
ikh	溃
iki	2
ikk	漶
ikm	党中央
ikn	2
ikp	2
ikr	㳏
iks	㳭
ikt	削足适履
iku	溃决
ikv	2
ikw	省吃俭用
ila	戦
ild	洇
ilf	畄
ilg	沺
ilh	举国上下
ili	漯河
ilk	党团员
ill	沉思默想
ilo	2
ilp	沉默寡言
ilq	2
ilr	渐近
ilt	2
ilu	渐次
ilw	赏罚分明
ilx	党团组织
ily	流连忘返
ima	滑落
imb	䣔
imc	尚难
imd	泱
ime	尚且
imf	尚未
img	洞
imi	油污
imj	测量
imk	敞
iml	油轮
imn	油层
imo	油烟
imp	洞察
imq	省内外
imr	测控
ims	滑梯
imt	尚待
imu	常见病
imv	2
imw	油价
imx	海岸线
imy	测试
ina	汛期
inb	澉
inc	满心欢喜
ind	深情厚谊
ine	2
inf	汛
ing	学习班
inh	沑
ini	泥沙
ink	湋
inl	瀷
inm	漏网
inn	㲸
ino	2
inq	2
inr	烫
ins	2
int	泌
inu	泥浆
inw	满怀信心
inx	埿
iny	小心谨慎
ioa	淡薄
ioc	2
iod	水火不相容
iof	水火无情
iog	濧
ioh	2
ioi	洞庭湖
ioj	瀍
iom	2
ion	少数民族
ioo	辉煌灿烂
iop	法庭审理
ioq	潾
ior	没精打采
iot	淡季
iou	㴑
iov	溇
iow	少数人
iox	2
ioy	淡忘
ipa	深切
ipb	
ipd	深厚
ipe	深受
ipf	淙
ipg	淀
iph	沉睡
ipi	常常
ipj	渖
ipk	常
ipl	汉字输入
ipm	常见
ipn	深情
ipo	浓度
ipp	深邃
ipq	鲎
ipr	党的
ips	学校
ipt	学生
ipu	学问
ipv	党群
ipw	溶
ipx	党组
ipy	尝试
iqa	涣散
iqb	2
iqc	沟通
iqd	油然而生
iqe	澥
iqf	濒危动物
iqg	渔
iqi	淘汰
iqj	泡影
iqk	泃
iql	漠然置之
iqn	渔民
iqo	淗
iqp	濥
iqq	淘金
iqr	海外投资
iqs	2
iqt	潴
iqu	涉外单位
iqv	㴔
iqw	海外侨胞
iqy	溜
ira	激荡
irb	派出
irc	法制观念
ird	湃
irf	激起
irg	湟
irh	激战
iri	激光
irj	激昂
irk	党的路线
irl	法制轨道
irm	峾
irn	激发
irp	少年宫
irq	海拉尔
irr	派兵
irs	2
irt	派往
iru	派头
irv	党的建设
irw	法制化
irx	党的纲领
iry	㲼
isa	河东
isb	浮想联翩
isc	酒巴
isd	学术研讨会
ise	洒脱
isf	湮
isg	酒
ish	湘
isi	河流
isj	渣
isk	河口
isl	河畔
ism	河山
isn	消极情绪
iso	酒精
isq	2
isr	酒泉
iss	溧
ist	小本生意
isu	河道
isw	淞
isx	小本经营
isy	沭
ita	省区
itb	举行了
itd	沃
ite	劣
itf	洗
itg	深入开展
ith	溴
iti	海洋
itj	海里
itk	活跃
itl	党和国家
itm	省内
itn	汔
ito	渊
itp	海军
itq	少儿
itr	流行的
its	水利枢纽
itt	省委
itu	海关
itv	少女
itw	党和人民
itx	省级
ity	㳊
iua	洋葱
iub	溢出
iud	浓妆艳抹
iue	注意力
iuf	党总支
iug	洋
iuh	2
iui	湖北省
iuj	潼
iuk	水产品
iul	潧
iun	㵍
iuo	沉着应战
iup	法新社
iuq	澬
iur	尖端技术
ius	当头棒喝
iut	ㄉ
iuu	滋养
iuv	溓
iuw	洋货
iux	涕
iuy	潜意识
ivb	激怒了
ivd	当面
ive	泿
ivf	浔
ivg	津
ivi	浸泡
ivj	当日
ivk	洳
ivm	梁山
ivn	当局
ivo	浩如烟海
ivp	当初
ivq	染色
ivr	沼气
ivt	浸透
ivu	当头
ivv	小姑娘
ivw	粱
ivx	2
ivy	当夜
iwa	没落
iwb	小伙子
iwc	沧桑
iwd	清华大学
iwe	沿用
iwf	淮南
iwg	澄
iwh	滫
iwi	淮河
iwk	消化吸收
iwl	2
iwm	脊髓
iwn	深化改革
iwo	涂料
iwp	浴室
iwr	涂抹
iws	脊椎
iwt	混合物
iwu	沿着
iwv	湓
iww	沿途
iwx	沿线
iwy	汃
ixc	光纤通信
ixd	2
ixe	溺爱
ixf	潍坊
ixg	湪
ixi	涨潮
ixj	消费量
ixk	消费品市场
ixo	2
ixp	2
ixr	2
ixt	省纪委
ixu	消费资料
ixv	2
ixw	涨价
ixx	消费结构
iya	省市区
iyb	浏阳
iyc	澈
iyd	液态
iye	㳖
iyf	济南
iyg	流速
iyh	注目
iyi	游泳
iyj	浏
iyk	濠
iyl	游园
iym	小商贩
iyn	泳
iyo	滦
iyp	注视
iyq	注解
iyr	流失
iys	淳朴
iyt	汸
iyu	尐
iyw	滚
iyx	浪费
iyy	氵
jaa	䗃
jab	昻
jac	2
jad	蜞
jae	昮
jaf	暴露
jag	螨
jai	师范学校
jaj	㫒
jak	暴跌
jal	星期四
jam	暎
jan	暴发
jap	蠓
jaq	螮
jas	最基本
jat	蛲
jau	2
jav	蟏
jaw	蠖
jax	2
jay	野营训练
jbb	电子函件
jbc	电子对抗
jbd	电子有限公司
jbe	最爱
jbf	电子元件
jbg	电子表
jbi	最少
jbj	早出晚归
jbk	最贵
jbm	昢
jbn	最快
jbr	最后
jbs	2
jbt	最先
jbu	电子产品
jbw	最低
jby	电子商务
jcb	2
jce	蛹
jcf	蛏
jcg	紧逼
jch	2
jci	2
jcj	蚂蚁
jck	㬃
jcm	䝨
jcn	蝚
jco	2
jcp	坚定
jcq	里通外国
jcr	紧迫
jct	紧靠
jcu	坚决
jcv	2
jcw	紧俏
jcx	紧张
jcy	2
jda	果不其然
jdb	明确了
jdd	是否有过
jde	蛕
jdf	蝰
jdg	䖨
jdh	明确目标
jdj	显而易见
jdk	2
jdl	2
jdm	蝒
jdn	时有发生
jdo	2
jdp	2
jdq	2
jdr	最大的
jds	明确要求
jdt	时不我待
jdu	最有前途的
jdv	2
jdw	昃
jea	日用工业品
jeb	明了
jec	2
jed	量力而行
jee	蛠
jef	蛶
jeg	蚏
jei	日用消费品
jej	明星
jek	盟员
jel	盟国
jen	电力局
jeo	明火
jep	盟军
jeq	晲
jer	明白
jet	明智
jeu	暴力冲突
jev	日月如梭
jew	明令
jex	螇
jey	明亮
jfa	早期
jfb	时隔
jfc	昙
jfd	蠕
jff	圼
jfg	时下
jfh	旪
jfi	时常
jfj	旱
jfk	显示器
jfm	暔
jfn	显示屏
jfo	㫱
jfp	旱灾
jfq	野外
jfr	早年
jfs	电动机
jft	野生
jfu	时装
jfv	量才录用
jfw	时代
jfy	䖞
jga	蚈
jgb	旽
jgc	晊
jgd	是否
jge	蜻
jgf	晴天霹雳
jgg	蚟
jgh	是
jgj	蟪
jgk	蝠
jgl	遇到困难
jgm	螬
jgn	2
jgo	㫫
jgp	题字
jgq	敭
jgs	昩
jgt	最严重的
jgu	师资
jgv	蜨
jgw	时至今日
jgx	蛦
jgy	题为
jha	是非功过
jhb	虫子
jhc	蚾
jhd	暃
jhe	申办
jhf	冒雨
jhg	蝆
jhh	蠼
jhi	冒尖
jhj	早些时候
jhk	曱
jhl	2
jhm	※
jhn	畅
jhp	野战军
jhq	晛
jhr	监督制度
jhs	监督权
jht	冒牌
jhu	申辩
jhv	2
jhw	明眼人
jhx	蟕
jhy	申请
jia	蟝
jib	2
jie	日常办公
jig	晄
jih	2
jii	2
jik	2
jil	2
jin	2
jio	星光灿烂
jip	曭
jiq	2
jir	临渴掘井
jis	2
jit	䖢
jiv	2
jiw	蝋
jix	2
jja	日期
jjb	日出
jjd	日历
jje	日月
jjf	日元
jjg	蚎
jjh	是是非非
jji	日渐
jjj	日
jjk	昌邑
jjl	电影界
jjm	日见
jjn	临时性
jjo	焸
jjp	星星之火可以燎原
jjq	蜴
jjr	日报
jjs	日本
jjt	时时处处
jju	日益
jjw	紧紧依靠
jjx	紧紧张张
jjy	日夜
jka	2
jkb	2
jkd	2
jke	蜎
jkf	2
jkg	曼哈顿
jkj	紧跟时代
jkk	曮
jkl	2
jkm	日喀则
jkn	2
jko	2
jkp	2
jkr	暗中摸索
jku	2
jkw	2
jkx	2
jlb	2
jlc	鄤
jlf	昷
jlg	归罪于
jlh	䖬
jli	临界温度
jlj	2
jlm	2
jln	2
jlo	2
jlp	2
jlr	㼔
jlu	2
jlv	2
jlw	归国华侨
jlx	螺丝
jly	日思夜想
jma	晪
jmb	映出
jmd	愚蠢
jmf	蜩
jmg	遇到
jmh	遇
jmi	2
jmj	愚昧
jmk	2
jml	2
jmm	蠳
jmn	2
jmo	2
jmp	遇害
jmr	蛧
jmv	2
jmw	愚公
jmx	2
jmy	蚒
jna	电荷
jnb	影剧院
jnc	电能
jnd	电磁
jne	电力
jnf	电教
jng	电表
jnh	蝑
jni	电池
jnj	电量
jnk	电器
jnn	蟤
jno	电焊
jnp	电视
jnq	电镀
jnr	电报
jns	电梯
jnt	毾
jnu	电熨斗
jnw	电信
jnx	电缆
jny	电讯
joa	电火花
jod	2
joe	2
jof	显露
jog	显现
joj	旷野
jok	2
jol	2
jom	2
jon	螰
joo	蟧
jop	2
joq	里应外合
jor	明火执仗
jot	显得
jou	㫧
jov	螗
jow	2
jox	2
joy	星火计划
jpa	电视工作者
jpd	坚定不移
jpe	2
jpf	电视塔
jpg	蝊
jph	䗆
jpj	暝
jpk	监察员
jpl	晖
jpm	电视周
jpn	坚定性
jpo	电视广播
jpp	2
jpq	晼
jpr	电视接收机
jps	监察机关
jpt	电视片
jpu	电视新闻
jpv	鷃
jpw	坚定信心
jpx	紧密结合
jpy	鉴定证书
jqa	昭然若揭
jqb	剔除
jqd	临危不惧
jqe	易县
jqf	晚霞
jqg	紧急救援
jqh	晚餐
jqi	易学
jqj	暴饮暴食
jqk	冕
jqm	蝜
jqn	畅销书
jqo	歇业
jqp	晚宴
jqq	电饭锅
jqr	剔
jqt	晚稻
jqu	晚间
jqv	㬠
jqw	遏
jqx	2
jqy	旳
jra	2
jrc	昄
jrd	紧迫感
jre	䖰
jrf	最近十多年来
jrg	蚯
jrh	蚚
jri	暭
jrj	2
jrk	2
jrl	蟱
jrn	最近以来
jro	2
jrr	电报挂号
jrt	坚持和完善
jru	明摆着
jrv	2
jrw	最近几年
jrx	坚持统一
jry	蚸
jsa	2
jsc	2
jsf	果真
jsg	日本政府
jsh	敤
jsi	果汁
jsj	曋
jsk	果品
jsm	2
jso	颗粒
jsp	果农
jsq	果然
jsr	蜥
jss	最根本的
jsu	日本首相
jsv	2
jsw	蜙
jsy	日本方面
jta	临摹
jtb	蜏
jtc	暗自欢喜
jtd	蜘
jte	临朐
jtf	蜓
jtg	戥
jth	蜒
jti	临沂
jtj	蜊
jtk	监听
jtl	暗自思量
jtm	晑
jtn	蜁
jto	蟋
jtp	监视
jtq	显微镜
jtr	监控
jts	最重要的是
jtt	星系
jtu	临门
jtv	䗻
jtw	冒牌货
jtx	临终
jty	监
jua	蛢
jub	坚决取缔
juc	2
jud	最新成果
jue	照章办事
juf	蚪
jug	蛘
jui	最新消息
juj	蟑
juk	暗中
jul	晕头转向
jum	2
jun	日益发达
jup	日益完善
jur	坚决反对
jut	暗自
juu	坚决斗争
juw	螠
jux	坚决维护
juy	昧着良心
jvb	归队
jvd	归还
jve	蛝
jvf	昭示
jvg	归来
jvi	照耀
jvj	最好时期
jvk	昭
jvm	2
jvo	照料
jvp	归案
jvq	2
jvr	照搬
jvs	照样
jvt	虭
jvu	归并
jvv	2
jvw	照例
jvx	归结
jwa	蟘
jwb	最佳阵容
jwc	暴风骤雨
jwd	时代感
jwf	暴风雨
jwg	暌
jwh	螩
jwi	时代潮流
jwl	2
jwm	2
jwn	电信局
jwo	愚公精神
jwp	2
jwq	2
jwr	蚥
jws	2
jwt	时代特征
jwu	时代前列
jwv	蚡
jww	䘋
jwx	最低纲领
jwy	暹
jxd	最强大
jxe	蚴
jxg	明细表
jxh	最终目的
jxj	昆虫
jxk	2
jxl	2
jxm	昆曲
jxn	昆剧
jxo	2
jxs	2
jxu	紧张状态
jxv	2
jxw	坚强领导
jxx	蚍
jxy	曵
jyb	影院
jyc	蜟
jyd	ァ
jyf	明文规定
jyg	景致
jyh	最高点
jyi	ぁ
jyj	影星
jyk	景
jym	景山
jyn	虻
jyp	最为突出
jyq	景色
jyr	昘
jys	电话机
jyt	蚄
jyu	螃
jyv	蜋
jyw	影像
jyx	电话线
jyy	旼
kaa	中草药
kac	2
kad	喏
kaf	㖼
kag	哐
kah	嚂
kai	中共党员
kaj	叶落归根
kak	中共中央
kal	叫苦连天
kam	唝
kan	喋
kao	2
kaq	噆
kar	呕
kat	顺其自然
kau	中苏关系
kav	2
kaw	嗬
kax	中世纪
kba	2
kbb	吸取
kbc	㖩
kbd	2
kbf	吸取教训
kbg	咡
kbh	嗤
kbi	吸油
kbj	2
kbl	2
kbn	吔
kbp	2
kbq	㗦
kbr	听取批评
kbt	2
kbu	听取意见
kbv	2
kbw	2
kbx	吸引
kby	贵阳市
kca	2
kcb	嗓子
kcc	啜
kcd	2
kce	叹服
kcf	2
kcg	患难与共
kch	2
kci	2
kck	䣈
kcl	2
kcm	2
kcn	噊
kcr	2
kcs	2
kct	哞
kcv	2
kcx	2
kdb	吃不了兜着走
kdc	㕹
kde	别有用心
kdf	只不过是
kdg	喊
kdh	嘁
kdj	顺畅
kdk	顺口
kdm	咘
kdn	哤
kdo	顺序
kdr	顺势
kds	2
kdt	顺德
kdu	㕦
kdv	2
kdw	嗪
kdx	吐故纳新
kdy	呔
keb	啂
ked	吃力不讨好
kee	嗋
kef	哺乳动物
keg	别致
kej	别墅
kek	咖啡
kel	别国
kem	2
keo	另类
kep	㖟
keq	另外
ker	别的
kes	啋
ket	另行
keu	2
kfa	跨地区
kfb	喷出
kfc	嗑
kfe	2
kff	喷雾
kfg	嘲弄
kfh	嗔
kfi	中南海
kfj	呼声最高
kfk	咭
kfl	啚
kfn	嚋
kfo	味精
kfp	噎
kfr	喷泉
kfs	吃老本
kft	嘟
kfu	史无前例
kfw	嚯
kfx	2
kfy	㘊
kga	哢
kgb	郢
kgc	咥
kgd	号码
kge	啄
kgf	吁
kgg	㕶
kgh	嘕
kgi	吴江
kgj	咺
kgk	喇
kgm	啧
kgn	饕
kgp	足球赛
kgq	嗷
kgr	中青年
kgt	另一种
kgu	呯
kgv	嘈杂
kgw	号令
kgx	嗉
kgy	哺育
kha	嘘
khb	趿
khc	蹂
khd	啡
khe	蹈
khf	
khg	遗
khh	跛
khi	中学
khj	蹋
khk	躁
khl	躅
khm	踹
khn	踞
kho	踮
khp	跎
khq	跳
khr	踬
khs	︶
kht	路
khu	蹲
khv	踺
khw	啮
khx	跸
khy	蹄
kia	2
kib	2
kic	2
kid	中流砥柱
kie	吵架
kif	中学教师
kig	中小型
kih	嘙
kii	中小学生
kil	2
kin	2
kio	2
kiq	2
kir	哨兵
kit	嗨
kiu	吵闹
kiv	2
kiw	顺水人情
kix	2
kiy	2
kjd	2
kje	中坚力量
kjf	哻
kjg	啺
kjn	口是心非
kjo	2
kjp	2
kjq	虽然
kjs	嗮
kju	中日关系
kjv	2
kjw	2
kka	嚚
kkb	串联
kkc	踊跃参加
kkd	哭
kke	口服
kkf	鄂
kkg	咄咄逼人
kkh	患
kki	吕梁
kkk	口
kkl	器皿
kkm	蹉跎岁月
kkn	呼吁书
kko	品类
kkp	踏踏实实
kkq	口角
kkr	口气
kks	器械
kkt	品牌
kku	患病
kkv	㖐
kkw	器件
kkx	品级
kky	鄂州
kla	中国革命
kld	嗯
klf	啭
klg	呬
klh	唓
kli	中国少年先锋队
klk	中国中文信息学会
kll	中国国际广播电台
klm	嘪
kln	中国民主促进会
klp	中国农业银行
klq	中国包装总公司
klt	中国科协
klu	嚺
klv	中国建筑工程总公司
klw	中国人民
klx	中国红十字会总会
kly	中国证监会
kma	员工
kmc	中央对外联络部
kmd	咉
kme	嘣
kmf	中央直属机关
kmg	中央政府
kmh	䚋
kmi	跋山涉水
kmk	呐喊
kml	吊车
kmn	中央情报局
kmp	中央军委副主席
kmq	中央银行
kmr	中央气象台
kms	吊桥
kmt	中央委员
kmu	勋章
kmv	2
kmw	剐
kmx	中央统战部
kmy	中央主席
kna	叫苦
knb	啒
kne	2
knf	叫卖
kng	叼
knh	哪些
knk	嘱咐
knm	中心内容
knn	呡
knp	2
knq	吸收外资
knr	嘱托
kns	2
knt	㕧
knw	叫做
knx	中心组
kny	唯心主义
koa	嗻
koc	2
kod	2
koe	2
kof	2
kog	嚉
koj	2
kok	2
kol	2
kom	2
kon	2
koo	㗵
kor	2
kos	嚒
kot	2
kou	2
kov	嘃
kow	2
kox	2
koy	吙
kpa	㗷
kpb	2
kpc	2
kpd	嗐
kpe	口蜜腹剑
kpg	啶
kph	2
kpi	2
kpj	2
kpk	喧哗
kpm	2
kpn	嗤之以鼻
kpo	2
kpp	2
kpq	㕪
kpr	2
kpt	咤
kpu	喧闹
kpw	喀什
kpy	2
kqa	㖧
kqb	㗙
kqd	吹奏
kqe	嘝
kqf	只争朝夕
kqg	唫
kqh	2
kqi	哈尔滨市
kqk	呜咽
kql	2
kqn	咆
kqo	2
kqq	唱独角戏
kqr	啕
kqs	鸣枪
kqt	吹牛
kqu	呁
kqv	喼
kqw	中外合资
kqy	中外记者
kra	喷气式
krb	㕳
krd	嗥
kre	听力
krf	唕
krg	听到
krh	哖
kri	啤酒
krj	2
krk	哪年哪月
krl	2
krm	听见
krr	哳
krs	咑
krt	史籍
kru	唞
krv	2
krw	听从
krx	嚛
kry	听证
ksb	2
kse	2
ksf	㖶
ksg	别树一帜
ksi	叮当
ksj	嘾
ksk	叮嘱
ksn	2
kso	2
ksq	2
kss	啉
kst	2
ksu	喝西北风
ksx	2
kta	吒
ktb	唀
ktd	咶
ktf	呼声
ktg	呼救
kth	川
kti	呼和浩特市
ktj	唯利是图
ktk	呼吁
ktm	噢
ktn	吃惊
kto	响应
ktp	顺利实现
ktq	吃饭
ktr	吃掉
ktt	吃透
ktu	咚
ktv	㘉
ktw	中秋佳节
kty	咊
kua	2
kub	中产阶级
kuc	2
kud	咲
kuf	唴
kug	㕸
kuj	喑
kuk	㖣
kul	中立国家
kum	2
kun	兄弟民族
kuo	2
kur	2
kus	中资机构
kut	遗产税
kuu	跨部门
kuv	兄弟姐妹
kuw	中间人
kux	㖒
kvb	2
kvc	呶
kve	号召力
kvf	㗲
kvi	㖨
kvj	2
kvl	2
kvm	2
kvq	2
kvs	2
kvt	吚
kvu	2
kvv	2
kvx	2
kvy	2
kwa	唯其
kwb	哗众取宠
kwc	只能
kwd	唯有
kwe	中介服务
kwf	咐
kwg	喻
kwh	㖉
kwi	只当
kwj	唯命是从
kwk	吩咐
kwl	嗰
kwm	呼伦贝尔盟
kwn	喉
kwo	2
kwq	唯独
kwr	听人摆布
kws	哚
kwt	只管
kwu	中低产田
kwv	咿
kww	中华人民共和国
kwx	中介组织
kwy	㕥
kxa	2
kxc	2
kxd	2
kxe	吸引力
kxf	2
kxg	嚣张一时
kxk	吆喝
kxl	2
kxo	2
kxp	2
kxq	吸引外资
kxs	2
kxt	㘈
kxu	中继站
kxv	2
kxw	哛
kxx	咝
kxy	呣
kyc	叹为观止
kyd	2
kye	2
kyg	中方表示
kyh	2
kyj	唁电
kyk	哼
kyn	咏
kyo	2
kyp	2
kyr	囄
kyt	嗾
kyu	嘀
kyv	哴
kyw	咬
kyx	呟
kyy	另谋高就
laa	四项基本原则
lac	2
lae	2
laf	䡷
lag	軭
lah	䍓
laj	轕
lak	羁
lan	2
lao	轻工业部
las	2
lat	2
lau	轻工产品
lav	2
law	国共合作
lax	国营经济
lba	国际劳动节
lbb	国际联运
lbc	輙
lbd	国际研讨会
lbe	国防力量
lbf	国际博览会
lbg	国际事务
lbi	国际法
lbk	2
lbn	国际性
lbp	国防军
lbq	国际金融
lbr	国际制裁
lbs	国际机场
lbt	国防科技
lbu	国防部长
lbw	国际化
lbx	国际经济
lby	国际交流
lca	轻工
lcb	轻盈
lcc	辍
lcd	Β
lcf	轻声
lcg	轰击
lch	2
lci	㘝
lck	囼
lcl	轻轻
lcm	圎
lcn	轻快
lcr	2
lct	轻重
lcu	2
lcv	2
lcw	四通八达
lcy	轻率
ldb	因子
ldc	䍔
ldd	因而
lde	国有股
ldf	回顾过去
ldg	軲
ldh	因此
ldi	黑龙江
ldj	轻而易举
ldk	2
ldl	2
ldm	輀
ldn	较大改善
ldo	罽
ldp	固守
ldq	恩怨
ldr	固执
lds	四面楚歌
ldt	恩德
