aaa	葡萄牙
nvd	敢怒而不敢言
nvf	㦎
nvh	3
nvi	䎑
nvj	3
nvm	3
nvo	3
nvq	3
nvr	3
nvu	3
nvv	心如刀割
nvx	3
nvy	㞍
nwa	惟恐
nwc	慃
nwd	以公有制为基础
nwe	尽全力
nwf	㤔
nwg	居住环境
nwh	3
nwi	恰当
nwm	3
nwn	愉悦
nwo	3
nwt	居领先地位
nwv	翂
nww	收信人
nwy	戳
nxb	㥝
nxc	3
nxd	已经成熟
nxe	怮
nxg	已经形成
nxj	恉
nxk	3
nxl	3
nxm	3
nxo	3
nxp	惊弓之鸟
nxq	3
nxr	3
nxs	3
nxu	已经决定
nxw	䲿
nxx	悂
nxy	惤
nya	民族区域自治
nyb	以防
nyc	㥔
nyd	忙碌
nye	心爱
nyf	心声
nyg	心理
nyh	以此
nyi	民主党
nyj	尽量
nyk	心中
nyl	心思
nyn	尽快
nyo	心底
nyp	心窝
nyq	民族独立
nyr	民族振兴
nys	心想
nyt	以往
nyu	以前
nyv	民主建国会
nyw	悴
nyx	翠绿
nyy	以为
oad	迷惑不解
oae	糤
oaf	烘干
oag	烧死
oah	熞
oai	炼油
oaj	度日
oak	煂
oal	㢜
oam	懬
oan	庹
oao	鹧
oap	䢠
oaq	廗
oar	遮掩
oas	3
oat	糒
oau	遮盖
oav	3
oaw	烧伤
oay	3
obc	3
obd	3
obe	3
obi	3
obj	3
obk	3
obl	3
obo	3
obp	3
obq	3
obr	3
obt	3
obu	3
obv	3
oby	3
ocb	3
occ	3
ocf	3
och	3
ocj	3
ock	㷘
ocl	3
ocn	糅
oco	3
ocp	3
ocq	3
ocr	3
ocs	3
ocu	3
ocv	3
ocx	3
ode	庆贺
odf	庆幸
odg	粝
odh	緳
odi	糊涂
odj	粨
odk	糊口
odl	3
odm	煗
odn	庬
odp	庆安
odr	类推
odw	广大人民
odx	精耕细作
ody	广大市民
oec	3
oee	熁
oeg	㡹
oeh	㷔
oek	3
oel	粗略
oem	3
oen	廫
oet	粗重
oev	3
ofb	3
ofc	廅
ofd	应运而生
ofe	3
ofg	断垣残壁
ofh	座无虚席
ofj	3
ofk	糦
ofm	䊖
ofn	䊭
ofo	焃
ofr	3
ofs	3
oft	庄重
ofv	3
ofw	廧
oga	精工
ogb	庄严承诺
ogd	精矿
oge	精彩
ogf	㡰
ogj	烜
ogk	炊事员
ogl	3
ogm	精髓
ogn	精辟
ogo	精炼
ogt	精选
ogu	黼
ogw	数理化
ogx	业经
ogy	精诚
oha	㢚
ohb	3
ohc	3
ohf	3
ohg	3
ohk	店员
ohn	3
oho	3
ohq	爘
ohr	3
ohs	3
ohu	3
ohv	3
ohw	3
oic	应允
oie	炒股
oif	烟消云散
oii	广泛深入地
oij	广泛影响
oik	3
oil	3
oin	应届
oir	应按
oit	－
oiv	3
oiw	炒作
oix	3
oiy	应变
oja	熚
ojc	3
ojf	粗暴干涉
ojg	煶
oji	㎜
ojk	3
ojl	䊡
ojo	火里业头四点米
ojp	3
ojt	煋
ojw	3
ojx	㡼
oka	3
okc	3
okd	3
okh	3
oki	3
okj	3
okk	煰
okl	3
oko	3
okp	3
oks	3
okt	3
oku	3
okv	3
okx	3
ola	廙
olb	3
old	煾
olf	燡
olg	糫
olj	3
olk	烟叶
olm	3
olq	3
olw	熅
olx	3
oma	粬
omb	3
omc	3
omd	炴
omg	烔
omi	3
oml	3
omq	3
omr	3
oms	3
omv	3
omw	庙会
ona	3
onb	煀
onc	3
ond	粗心大意
onf	籸
ong	断开
onh	废止
oni	断流
onj	麝
onk	廦
onm	3
onn	㷷
ono	炒买炒卖
onp	精心安排
onr	炀
ont	数以千计
onw	数以亿计
onx	断绝
ony	废弃
ooa	火药
oob	㷥
ood	炎夏
oof	粧
oog	爜
ooh	煔
ooi	火海
ooj	糖果
ook	3
oon	火情
ooo	火炬
oop	嫈
ooq	䢯
oor	炎热
oot	爆炸物
oou	火辣
oov	焿
oow	鶑
oox	断断续续
ooy	腐烂变质
opa	精神世界
opb	3
opd	爎
opf	精神支柱
opg	熔融
opi	精神污染
opo	熔炼
opp	迷宫
opq	㶩
opr	精神抖擞
ops	䊉
opu	精神准备
opv	3
opw	迷信
opy	迷恋
oqa	遴
oqb	煼
oqc	3
oqe	底肥
oqg	炊事
oqi	烑
oql	3
oqn	底层
oqo	底座
oqp	3
oqq	广角镜
oqr	灼热
oqs	3
oqt	底片
oqv	3
oqw	䶴
oqy	熘
orb	糉
orc	炍
ord	应邀而来
ore	3
org	数据更新
orj	广播电影电视部
orl	㷻
orp	3
orr	3
ort	数据管理
orv	3
orx	廐
ory	广播讲座
osa	3
osb	3
osf	熛
osg	庮
osh	烞
osi	灯泡
osm	3
osn	3
oso	糜烂
osp	3
osr	摩托
oss	摩
osu	床头
osw	灯会
ota	灹
otb	粚
otd	熢
otf	烍
otg	炸死
oth	糗
oti	业务学习
otj	3
otl	熜
oto	熄火
otq	熪
ott	业务科
otu	庝
otw	庄稼人
otx	䊈
oty	秌
oub	㡿
ouc	3
oud	麻痹大意
oue	精疲力竭
oug	烊
oui	烂泥
ouj	糡
oum	3
oup	3
ous	煪
out	3
ouu	火辣辣
ouv	熑
ouw	熌
ovc	3
ove	数月
ovf	熽
ovg	煡
ovh	鄌
ovi	唐海
ovn	3
ovp	数九寒天
ovq	3
ovr	数年
ovs	3
ovt	数千
ovv	3
ovw	数值
owa	3
owc	炈
owf	烩
owg	廥
owi	鹰潭
owj	炌
owk	3
own	粮食局
owp	3
owq	㢋
ows	度假村
owt	唐人街
owu	座次
owv	䲴
oww	膺
owx	粉丝
owy	粘合剂
oxa	3
oxb	3
oxc	3
oxf	3
oxg	3
oxi	颣
oxl	3
oxm	3
oxn	3
oxo	3
oxp	3
oxq	3
oxs	3
oxx	煯
oxy	3
oyd	应该成为
oyf	煽动
oyg	广平
oyi	炫耀
oyk	煷
oyl	精诚团结
oyn	庐
oyo	粮店
oyr	㷰
oys	粮票
oyt	废弃物
oyu	粮站
oyv	烺
oyw	粮食
oyy	广州
paa	社区工作
pab	宽限
pad	宽厚
paf	视若无睹
pah	宧
pai	寒流
paj	寒暑
pan	社区发展
pap	宽窄
par	安营扎寨
pas	宽松
pat	寒冬
pau	赛前
paw	塞
pba	字幕
pbe	3
pbf	实际增长
pbg	字画
pbo	3
pbp	3
pbr	空降兵
pbt	突出重点
pbu	实际意义
pca	3
pcc	3
pcd	客观原因
pce	3
pcf	客观真理
pcj	3
pcl	3
pcm	3
pcn	客观情况
pcq	3
pcs	3
pcv	3
pcw	3
pcy	宏观调节
pda	3
pdc	寄予
pdd	富有成效
pde	宠爱
pdf	宸
pdh	豁
pdi	3
pdl	寕
pdm	3
pdn	害己
pdq	豁免
pdr	被压迫民族
pds	牢不可破
pdt	寄往
pdu	冤大头
pdw	害人
pdy	寄主
pea	农艺
pec	3
ped	农历
pef	农运
peg	实用型
pei	宜兴
pej	宜昌
pem	3
pen	军用飞机
pep	农安
peq	冩
pes	农林
pet	农用物资
peu	实用新型专利
pev	农妇
pew	军用侦察机
pey	神采奕奕
pfc	3
pfd	穿云破雾
pff	神魂颠倒
pfg	完事
pfi	完满
pfj	宑
pfo	3
pfp	䢘
pfq	寇
pfs	3
pfu	完美
pfw	守信
pfx	完结
pfy	空城计
pga	军事基地
pgb	写了
pgd	写成
pge	家用
pgf	家教
pgg	定型
pgh	定点
pgi	室温
pgj	家里
pgk	宝贵
pgl	军事思想
pgm	定购
pgn	完整性
pgo	宝座
pgp	定额
pgq	定名
pgr	宣誓
pgs	军事机关
pgt	写入
pgu	定单
pgv	寁
pgw	定位
pgx	宣纸
pgy	宣言
phc	3
phd	3
phg	官吏
phi	3
phj	3
phl	3
phn	官司
pho	3
phs	3
phw	被占领土
phx	3
phy	官商
pia	3
pid	3
pif	空洞无物
pig	3
pih	3
pii	3
pil	3
pim	3
pin	3
pip	3
piq	3
piy	宗派主义
pja	3
pjc	3
pje	3
pjf	3
pjg	寔
pjl	3
pjo	定时炸弹
pjq	3
pjs	审核
pju	寓意
pjw	寒暑假
pjy	审计
pka	3
pkb	3
pkc	3
pkh	3
pki	3
pkl	3
pkq	察哈尔右翼后旗
pkt	宝贵生命
pkw	3
pky	空口说白话
pla	军医
plc	3
pld	宏图大略
ple	军力
plg	军政
pli	军港
pll	军界
plm	3
pln	军属
plp	寰宇
plq	3
pls	军械
plt	军舰
plu	军部
plw	宏图伟业
plx	社团组织
ply	军训
pma	3
pmb	3
pmc	3
pme	3
pmh	3
pmi	3
pmm	3
pmn	3
pmo	3
pmp	3
pmr	3
pms	3
pmt	3
pmu	3
pmw	3
pmx	3
pmy	3
pna	军民共建
pnd	家丑不可外扬
pnf	农民起义
png	补习班
pnh	定居点
pni	3
pnj	完璧归赵
pnk	3
pnl	寜
pnq	突飞猛进
pnt	宓
pnu	军民关系
pnw	农民企业家
pny	实习记者
poa	农业区划
poc	叜
pog	家庭环境
poi	3
poj	家庭暴力
pok	3
poo	3
pop	灾祸
pot	家庭生活
pou	宩
pow	家庭作业
poy	军火交易
ppa	视察工作
ppd	宽宏大量
ppf	寥寥无几
ppg	安安静静
ppj	3
ppk	冤家路窄
ppo	寥寥数语
ppp	之字宝盖补礻衤
ppq	之争
ppr	客客气气
pps	冠军杯
ppt	窃窃私语
ppu	之前
ppw	安定人心
ppy	牢牢记取
pqa	3
pqb	剜
pqc	3
pqd	䪴
pqe	3
pqh	3
pqj	3
pql	3
pqo	3
pqq	㝖
pqr	3
pqt	3
pre	3
prg	官兵一致
prj	3
prk	3
prm	3
prn	实质性谈判
pro	3
prp	实报实销
prt	安排生活
prv	3
prw	3
pry	宣誓就职
psb	3
psc	3
psd	农机厂
pse	3
psf	宁南
psg	宽松环境
psi	宁河
psk	3
psm	3
pso	3
pss	冧
pst	审查委员会
pta	家务劳动
ptb	社科院
ptd	神秘感
ptf	初等教育
ptg	福利事业
pti	客流
ptk	愙
ptl	客轮
ptm	3
pto	客座
ptp	安身之地
ptr	家长制
ptt	牢靠
ptu	额头
ptv	3
ptw	客货
ptx	3
pty	客商
pua	补药
pub	裙子
puc	实验
pud	实在
pue	实用
puf	褂
pug	实现
puh	初步
pui	褝
puj	袒
puk	农产品
pul	实况转播
pum	补贴
pun	袂
puo	实业
pup	被褥
puq	褪色
pur	被迫
pus	补丁
put	袼
puu	袢
puv	寝
puw	褓
pux	补给
puy	实施
pva	福如东海寿比南山
pvb	案子
pvc	3
pve	3
pvf	完好无损
pvg	安顿
pvi	被剥削阶级
pvj	3
pvl	䀂
pvm	3
pvn	安心
pvp	安神
pvq	安然
pvr	安抚
pvt	安生
pvu	案卷
pvv	3
pvw	案例
pvy	完好率
pwa	窃
pwb	宂
pwc	梥
pwd	突破
pwe	社会舆论
pwf	窥
pwg	社会环境
pwh	窝点
pwi	宣传活动
pwj	容量
pwk	窗口
pwl	突围
pwm	宣传周
pwn	安全性
pwo	䆦
pwp	社会福利
pwq	突然
pwr	空气
pws	穿梭
pwt	窖
pwu	邃
pwv	容忍
pww	社会化
pwx	容纳
pwy	社会主义市场经济
pxa	3
pxb	初级阶段
pxd	3
pxe	3
pxf	3
pxj	3
pxl	3
pxm	3
pxn	3
pxo	3
pxq	3
pxs	3
pxt	寲
pxv	3
pxw	穷乡僻壤
pxx	3
pya	审计工作
pyb	祖孙
pyc	神通
pyd	禊
pye	视力
pyf	禧
pyg	神速
pyh	视频
pyi	福清
pyj	礼遇
pyk	礼品
pyl	社团
pym	禂
pyn	祀
pyo	禟
pyp	祖宗
pyq	祢
pyr	礼拜
pys	神木
pyt	神秘
pyu	禚
pyv	神灵
pyw	室主任
pyx	视线
pyy	礻
qaa	鐷
qad	錤
qaf	急切地
qag	䥬
qah	铘
qai	鑮
qaj	镆
qak	鉕
qam	鍈
qan	鉪
qap	错字
qaq	金戈铁马
qar	锋芒所向
qas	3
qat	错乱
qaw	乌七八糟
qay	氐
qbc	駌
qbe	3
qbg	迎来
qbh	夘
qbj	鐊
qbl	㽜
qbn	釶
qbo	3
qbt	危险物品
qbu	迎送
qbw	迎风
qbx	3
qby	鈒
qcc	鏒
qcg	勾画
qch	3
qci	勾当
qcj	3
qcm	3
qcn	色情
qcp	3
qcs	3
qcv	3
qcy	色盲
qda	䥄
qdb	危及
qdc	鈜
qdd	铁矿石
qde	鍸
qdf	铁面无私
qdg	负有责任
qdh	争夺战
qdi	銇
qdj	銆
qdk	3
qdl	3
qdm	顉
qdn	䤞
qdo	3
qdp	留厂察看
qdq	久而久之
qdr	鲜艳的
qds	急不可待
qdt	危重
qdu	乌克兰
qdv	3
qdw	铸件
qdy	钛
qea	解惑
qeb	解聘
qed	触感
qee	錋
qef	触动
qeg	锄
qeh	触
qei	多加小心
qem	3
qep	鑀
qeq	多边贸易
qet	解释
qeu	解剖
qew	包办代替
qex	3
qey	解雇
qfc	鉣
qfd	名声大振
qfe	3
qff	銈
qfg	针刺
qfh	镇
qfj	3
qfk	銡
qfp	鋍
qfq	急需解决
qfs	3
qft	铑
qfu	﨨
qfv	3
qfw	鈇
qfx	针线
qga	鲜花
qgb	鲰
qgc	鱼台
qgd	鲕
qge	鳐
qgf	鲑
qgg	鲠
qgh	鲇
qgi	铺满
qgj	鲥
qgk	镉
qgl	鲴
qgm	负责同志
qgn	印刷
qgo	铼
qgq	金融危机
qgr	负责制
qgs	名列榜首
qgt	鲧
qgu	铗
qgv	鲟
qgw	负责人
qgx	銕
qgy	鲛
qha	錿
qhb	外孙
qhc	鈙
qhd	外面
qhe	外边
qhf	外壳
qhg	外来
qhh	
qhi	外省
qhj	外电
qhk	夞
qhl	外围
qhn	鈻
qho	3
qhp	迯
qhq	外逃
qht	外籍
qhu	钻头
qhv	3
qhw	外伤
qhy	外交
qic	3
qie	逃脱
qif	逃走
qig	独当一面
qii	䤬
qij	錔
qik	名演员
qim	鋿
qin	鱼水情
qio	3
qip	镗
qir	多党制
qit	销往
qiu	多渠道
qiw	外汇储备
qix	3
qiy	外汇市场
qjb	。
qje	3
qjf	贸易协定
qjg	钽
qjj	錩
qjk	（
qjn	鎉
qjo	3
qjq	贸易争端
qjt	鍟
qju	贸易部
qjv	3
qjy	贸易商
qka	象牙
qkb	兔子
qkc	3
qkd	䪷
qke	名胜
qkf	免去
qkg	名下
qkh	名目
qki	名流
qkk	名叫
qkm	名山
qkn	钟情
qkp	名额
qkq	勉
qkr	鉂
qks	狭路相逢
qkt	象征
qku	名将
qkv	3
qkw	铁路分局
qkx	铁路线
qky	名词
qla	3
qlb	3
qld	铟
qle	3
qlf	急转直下
qlg	包罗万象
qli	外国游客
qll	鑘
qlm	3
qlo	3
qlr	鏩
qls	3
qlt	外国血统
qlu	3
qlw	外国企业
qly	外国记者
qmc	3
qmd	金刚石
qmf	钢坯
qmg	负责
qmh	3
qmm	銟
qmp	3
qmr	䤱
qmt	铜牌
qmw	铜像
qmx	3
qna	馓
qnb	饺子
qnd	印刷厂
qne	饮用
qnf	包干
qng	饨
qnh	饭桌
qni	饮酒
qnj	馒
qnk	印刷品
qnm	馉
qnn	釲
qno	饮料
qnp	包容
qnq	馏
qnr	包括
qns	饤
qnt	饷
qnu	包装
qnv	多快好省
qnw	包含
qny	包裹
qoa	鑛
qob	鮿
qoc	鮻
qod	魾
qoe	鱫
qof	魼
qog	魨
qoh	鮛
qoi	魦
qoj	鯷
qok	鱢
qol	鮰
qom	鮦
qon	多米尼加
qoo	鯳
qop	魫
qoq	魡
qor	鮜
qos	鯠
qot	魠
qou	乌烟瘴气
qov	鎕
qow	魤
qox	鮨
qoy	触类旁通
qpc	3
qpd	名实不符
qpf	錝
qpg	夤
qpi	3
qpj	3
qpk	3
qpm	3
qpq	鈂
qpt	镇定自若
qpu	3
qpw	外祖父
qqa	金黄
qqb	多孔
qqc	钓鱼台
qqd	金矿
qqe	多边
qqf	多远
qqg	金融
qqi	多少
qqj	金钥匙
qqk	外贸顺差
qqm	多则
qqn	多发
qqo	狐狸精
qqp	多寡
qqq	金钱
qqr	金盾
qqs	金杯
qqt	金牌
qqu	多次
qqv	金婚
qqw	金华
qqy	镏
qrb	鍐
qrc	鈲
qrd	争执不下
qre	䤨
qrf	鍎
qrg	銗
qrh	䀜
qri	锦涛
qrj	㫚
qrk	名扬中外
qrl	名扬四海
qrm	匋
qrn	鎎
qro	3
qrq	忽然
qrs	铁板
qrt	乌拉特后旗
qru	铁门
qrv	3
qrw	忽悠
qrx	铁的纪律
qry	锦州
qsc	3
qse	3
qsg	铁板一块
qsm	3
qsq	3
qst	3
qsu	3
qsv	3
qsw	䥑
qsx	3
qsy	鉥
qta	獾
qtb	锈
qtc	犸
qtd	獗
qte	猨
qtf	猿
qtg	猜
qth	独占
qti	多种渠道
qtj	猖
qtk	独唱
qtl	狎
qtm	猪肉
qtn	
qto	犷
qtp	独家
qtq	狰
qtr	狠抓
qts	猎枪
qtt	犭
qtu	独立
qtv	犰
qtw	狯
qtx	猕
qty	狱
qua	独善其身
qub	铲除
qud	钦差大臣
que	鐗
quf	迎头赶上
qug	镧
quh	3
quj	镱
quk	乌兹别克斯坦
qul	鏳
qus	鳞次栉比
qut	独立自主的和平外交政策
quu	镜头
quw	独资企业
qux	包装费
qva	鐞
qvd	争艳
qve	争办
qvf	争霸
qvg	急于
qvh	饮鸠止渴
qvi	争光
qvk	争吵
qvl	急转
qvn	急剧
qvo	3
qvr	急迫
qvt	银行
qvu	争斗
qvw	多媒体电脑
qvy	急诊
qwb	3
qwc	鎓
qwd	争分夺秒
qwf	铃声
qwg	镫
qwh	鏅
qwk	名优品牌
qwn	匃
qwp	多做实事
qwq	铁合金
qws	䤪
qwt	锻造
qwu	名优产品
qww	销售价格
qwx	鈋
qwy	锥
qxb	3
qxc	3
qxd	3
qxe	3
qxf	鐑
qxh	鎭
qxi	銯
qxk	外强中干
qxl	3
qxn	3
qxo	3
qxp	3
qxr	3
qxx	鈚
qya	勉为其难
qyc	错误观点
qyd	留有
qyf	错误地
qyg	解放事业
qyi	夊
qyj	留日
qyk	镦
qyl	错误思想
qym	镶嵌
qyn	鸵
qyo	负效应
qyp	解放军报
qyq	外商独资企业
qyr	外商投资企业
qys	3
qyt	孵
qyu	外交部
qyv	遛
qyw	孵化
qyx	久经
qyy	留恋
raa	手工劳动
rab	捞取
rad	拒不
rae	拔苗助长
raf	搭载
rag	抗菌素
rah	捓
rai	技工学校
raj	揠
rak	擹
ral	描图
ram	制黄贩黄
ran	揲
rap	热切祈盼
raq	摕
rar	扫黄打非
ras	迫切要求
rat	措辞
rau	摸准
rav	撒娇
raw	搽
ray	拉萨市
rbb	摄取
rbc	掫
rbe	3
rbf	报载
rbg	拯救
rbh	提出上诉
rbi	拙劣
rbj	报时
rbl	捍卫国家主权
rbn	报收
rbo	报数
rbq	摄氏
rbr	扔掉
rbs	撤职查办
rbt	报复
rbu	报送
rbv	3
rbw	报人
rby	捍卫主权
rca	返工
rcb	把子
rcc	反对
rcd	返还
rcf	后台老板
rcg	反正
rci	摊派
rcj	捅马蜂窝
rck	指桑骂槐
rcl	反转
rcn	揉
rcp	擂台赛
rcq	挨饿
rcr	拚搏
rct	反射
rcu	抬头
rcv	3
rcw	摊位
rcy	搔
rda	拓荒
rdb	扩大出口
rdc	抜
rdd	希奇
rde	撕破脸皮
rdf	捺
rdg	找不到
rdh	抔
rdi	打破常规
rdj	拜师
rdm	欷
rdn	势在必行
rdo	拻
rdp	据不完全统计
rdr	拓扑
rds	势不可挡
rdt	迫不得已
rdu	撅
rdw	拜会
rdx	拉帮结派
rdy	所有这些
reb	捊
red	招架不住
ree	打肿脸充胖子
ref	拥戴
reg	㧮
reh	覛
rel	皭
rem	3
ren	3
rep	热爱祖国
req	搜狐
rer	拥挤
ret	劰
reu	打架斗殴
rev	挼
rew	挪用公款
rex	㨙
rfa	技工
rfb	质子
rfc	擂台
rfd	挂历
rfe	势均力敌
rff	年均增长
rfg	反过来
rfh	搷
rfi	护城河
rfj	质量
rfk	抚顺
rfl	挂图
rfm	白云山
rfn	推进改革
rfo	挂断
rfp	后起之秀
rfq	持久
rfr	挂接
rfs	质朴
rft	挂牌
rfu	质问
rfw	攉
rfx	反动统治
rfy	质询
rga	捕获
rgb	看到了
rgc	热烈欢迎
rgd	后面
rge	兵力
rgf	后进
rgg	接下来
rgh	后辈
rgi	后尘
rgj	挭
rgk	逅
rgl	抹黑
rgm	气吞山河
rgn	年事已高
rgo	反政府
rgp	所到之处
rgq	手下留情
rgr	捕捞
rgs	皌
rgt	捷径
rgu	搏斗
rgv	挳
rgw	后人
rgx	后缀
rgy	后方
rha	年节
rhb	看出
rhc	看戏
rhd	看成
rhf	披露
rhg	年来
rhh	看上
rhi	排水
rhj	年景
rhk	看中
rhl	卸车
rhm	年岁
rhn	拭目以待
rho	扑火
rhp	看守
rhq	挸
rhr	排斥
rht	排行
rhu	年间
rhw	看作
rhx	年纪
rhy	爪
ric	3
rid	换汤不换药
rie	撑腰
rif	搅动
rig	打游击
rii	白洋淀
rij	㧺
rim	3
rio	3
rip	抄写
riq	3
rir	后浪推前浪
ris	执法机关
rit	担当重任
riv	挥汗如雨
riw	挡风
rjb	提取
rjc	3
rjd	誓师大会
rje	㩎
rjf	提示
rjg	提
rjh	抗日战争
rji	㨪
rjj	抓紧时间
rjl	摱
rjm	3
rjn	反映情况
rjp	揭穿
rjq	提名
rjr	揭批
rjs	质量检验
rjt	提升
rju	质量关
rjv	3
rjw	提倡
rjx	提纲
rjy	打电话
rkb	扣子
rkd	接踵而来
rke	捌
rkf	捐献
rkg	失足青年
rkh	探听虚实
rki	3
rkj	︹
rkl	3
rko	3
rkp	兵贵神速
rkq	拀
rkr	捉摸
rks	气味相投
rkv	3
rkw	捉拿
rkx	扣费
rla	3
rld	接连不断
rlf	年轻干部
rlg	擐
rlh	舞步
rll	㩸
rlm	3
rln	拈轻怕重
rlo	3
rlq	斶
rlr	捆扎
rlw	舞会
rlx	挽回经济损失
rma	制式
rmb	抽取
rmc	3
rmd	抰
rme	制胜
rmf	失败者
rmg	摧残
rmh	掣
rmi	抽水
rmk	缺口
rmn	制导
rmo	揣摩
rmp	缺额
rmq	罀
rmr	皑皑
rms	抽检
rmt	缺德
rmu	抽奖
rmv	3
rmw	制售
rmy	抽调
rna	气功
rnb	氖
rnc	拨通
rnd	所有
rne	热情服务
rnf	掘进
rng	䎅
rnh	据点
rni	气派
rnj	气量
rnk	气味
rnl	扭转
rnm	扭曲
rnn	撰
rno	气焰
rnp	扎实
rnq	气馁
rnr	摺
rns	据查
rnt	氕
rnu	摒
rnw	擢
rnx	氢弹
rny	氦
rod	气度不凡
roe	3
rof	热火朝天
roi	3
rol	3
ron	鬼迷心窍
roo	找麻烦
rop	年度审议
rou	反腐斗争
rov	擞
row	反腐倡廉
roy	年度计划
rpa	按期
rpb	挖出
rpc	3
rpd	探矿
rpe	年富力强
rpf	挥霍
rpg	探求
rph	近视眼
rpi	近海
rpj	按时
rpk	打字员
rpn	打官司
rpp	探究
rpq	后视镜
rpr	挖掘
rps	探查
rpt	投案自首
rpu	近亲
rpw	擦
rpy	挥毫
rqa	抑或
rqb	换取
rqc	魑
rqd	换成
rqe	挣脱
rqf	担负起
rqg	挽救
rqh	持久战
rqi	抵消
rqj	㧦
rqk	搀
rqn	捣蛋
rqq	挣钱
rqr	抵制
rqs	摇钱树
rqt	排名第一
rqu	换装
rqw	兜售
rqy	抵京
rra	白菜
rrb	拉拉队
rrc	控制台
rrd	按捺不住
rre	折服
rrf	抓起
rrg	近年来
rrh	斦
rri	白沙
rrj	拍照
rrk	折中
rrn	招兵买马
rro	折断
rrp	白宫
rrq	白色
rrr	折扣
rrs	白杨
rrt	拆迁
rru	指挥部
rrv	娎
rrw	把握住
rrx	抵抗组织
rry	誓言
rsa	杀菌
rsb	投机取巧
rsd	技术成果
rse	打架
rsf	技术培训
rsg	技术开发
rsh	打点
rsi	技术学校
rsj	技术鉴定
rsk	打听
rsl	打转
rsn	技术性
rso	打火
rsp	杀害
rsq	打针
rsr	技术指导
rss	抽样检查
rst	技术先进
rsu	打着
rsw	技术含量
rsx	凶相毕露
rsy	抽样调查
rta	手艺
rtb	看得出
rtd	手套
rte	后备力量
rtf	卑
rtg	搬到
rth	手上
rti	手掌
rtj	手里
rtk	插嘴
rtl	手软
rtm	插曲
rtn	手臂
rto	皤
rtp	热身赛
rtr	报告指出
rts	手枪
rtt	插入
rtu	推向前进
rtv	擳
rtw	投入使用
rtx	招待费
rty	㐅
rua	投资项目
rub	打头阵
ruc	接驳
rud	择善而从
rue	接力
ruf	拉夫
rug	搓
rui	接洽
ruj	年产量
ruk	接吻
rul	接连
rum	拦网
run	抗逆性
ruo	掽
rup	拼写
ruq	拉锯
rur	抗美援朝
rus	投资机构
rut	接管
ruu	拼音
ruw	投资公司
rux	抚养费
ruy	按部就班
rva	殷切
rvb	抛出
rvc	摡
rve	势力
rvf	招考
rvg	热带
rvi	热水
rvj	招贤
rvk	热中
rvn	热情
rvq	按姓氏笔画为序
rvr	招手
rvt	执行
rvu	热门
rvw	垫付
rvy	执
rwa	失散
rwb	提供了
rwc	捴
rwd	イ
rwe	迭加
rwf	推进
rwg	捡
rwh	择优上岗
rwi	失学
rwj	投映
rwk	近代史
rwm	抢购
rwn	杀伤性
rwo	推断
rwp	失实
rwq	反倾销
rwr	所作的
rws	抓住机遇
rwt	失策
rwu	投产
rwv	失灵
rww	抢修
rwx	ぁ
rwy	携
rxa	曁
rxb	卽
rxd	㩪
rxe	白费力气
rxf	指南
rxg	指引下
rxi	指法
rxj	批量
rxl	指甲
rxn	持续发展
rxq	撧
rxr	拇指
rxt	后继乏人
rxu	批判
rxw	指使
rxx	指纹
rxy	批评
rya	按计划
ryb	摘取
ryc	㧧
ryd	抗原
rye	㧑
ryf	掠过
ryg	热衷于
ryh	白衣战士
ryi	搞活
ryj	抗旱
ryk	攘
ryl	提高思想认识
rym	3
ryn	捩
ryo	3
ryp	邀请赛
ryq	搞错
ryr	提高技术
rys	护林
ryt	敫
ryu	抗癌
ryv	摘录
ryw	皎
ryx	提高经济效益
ryy	抗议
saa	模范
sab	柜子
sad	楉
saf	模块
sag	模型
sah	栕
sai	栋梁
saj	横七竖八
sak	棫
sal	櫗
sam	横山
san	楪
sao	棋类
sap	㮠
saq	槆
sar	棋手
sas	杠杆
sat	西藏自治区
saw	模范人物
sax	枢纽
say	㯜
sbb	欇
sbd	极右
sbg	杰出青年
sbh	极点
sbk	3
sbp	3
sbq	3
sbt	槂
sbu	极美
sbw	极化
sbx	3
sca	树荫
scc	槮
scd	桳
sce	樋
scf	树干
sch	3
sci	3
scj	3
sck	枱
scm	3
scn	橘
sco	3
scp	3
scs	树枝
sct	权衡
scv	3
scw	树人
scx	3
scy	相对说来
sda	枯黄
sde	楜
sdf	顶替
sdg	㭅
sdh	槭
sdj	栢
sdl	3
sdm	柨
sdn	㮷
sdq	极大危害
sdr	配套措施
sds	可有可无
sdt	梼
sdu	顶部
sdv	3
sdw	榛
sdx	桟
sdy	枤
sea	檼
sec	3
sed	3
see	槄
seg	权力下放
sel	3
sem	3
sen	3
seo	3
ser	櫾
sey	3
sfa	村落
sfb	票子
sfc	榼
sfd	相去不远
sff	樗
sfg	标致
sfh	樾
sfi	飘
sfj	村里
sfk	标号
sfl	机动车辆
sfn	标尺
sfp	剽窃
sfq	棱角
sfr	飘扬
sfs	标本
sft	楮
sfu	标志着
sfw	票价
sfx	标引
sfy	标记
sga	酣
sgb	相互联系
sgc	本能
sgd	酞
sge	酷爱
sgf	酐
sgg	酽
sgh	醵
sgi	酿酒
sgj	桓
sgk	西口
sgl	本国
sgm	酮
sgn	醪
sgo	醭
sgp	西宁
sgq	酩
sgr	本质
sgs	相互配合
sgt	酥
sgu	本次
sgv	酔
sgw	酴
