AAAA	工
NAMY	愩
NAND	心甘情愿
NANF	民憤
NANG	怇
NANL	怕苦怕累
NANN	怈
NANS	屟
NANT	异性
NANY	民心
NAOO	民營科技企業
NAPE	懞
NAPG	改革家
NAPL	民運
NAPM	以工補農
NAQH	㦅
NAQI	展銷會
NAQJ	憯
NAQN	憽
NARG	民兵
NARL	將功折罪
NARN	避難所
NART	展播
NARU	以舊換新
NARX	民樂
NARY	改革措施
NASA	民權
NASF	展檯
NASK	民歌
NATE	民航
NATF	懂得
NATG	民生
NATJ	懂得
NATK	民和
NATN	愍
NATQ	异物
NATW	居功自傲
NATY	以觀後效
NAUD	民辦教師
NAUG	展開
NAUJ	民意
NAUK	臀部
NAUM	异端邪说
NAUS	改革開放以來
NAUT	改革開放政策
NAUY	改革開放以來
NAVG	民建
NAVW	憤世嫉俗
NAVY	心花怒放
NAWC	殿
NAWE	臀部
NAWF	壂
NAWG	展覽會
NAWM	以工代賑
NAWS	异体字
NAWT	民風
NAWW	臋
NAWX	异化
NAWY	展覽館
NAXD	慌張
NAYG	民主
NAYJ	避難就易
NAYK	慌乱
NAYN	恾
NAYP	改革方案
NAYQ	民謠
NAYT	民族
NBAG	以防萬一
NBAR	避孕藥
NBBB	懾
NBCE	憨態
NBDE	憜
NBDF	屈辱
NBDI	以防不測
NBDJ	憨厚
NBDP	層出不窮
NBEB	屈服于
NBEN	㦩
NBES	屈膝
NBFH	憨直
NBFN	聼
NBFT	屈才
NBGF	敢于
NBGG	以防万一
NBIP	敢當
NBKG	㥛
NBMH	㤕
NBMK	屈辱
NBMO	鶌
NBND	屈居
NBNG	敢情
NBNN	㤴
NBNT	局限性
NBRR	敢抓
NBRS	敢打敢拼
NBRX	屈指可数
NBSK	屙
NBTB	悅耳動聽
NBTE	饏
NBTG	㦕
NBTN	憨厚
NBTW	屈從
NBTY	敢于
NBWD	敢做
NBYA	敢講
NBYK	屈就
NBYW	敢於
NBYY	忣
NCCC	惙
NCCE	慘重
NCDE	司務長
NCDM	以柔克剛
NCEA	快馬加鞭
NCEC	怪胎
NCEE	愑
NCEH	悀
NCFG	怪事
NCFV	性能超群
NCGK	怪事
NCGM	慘遭不幸
NCGQ	慘烈
NCHA	慘劇
NCHI	懷柔縣
NCIO	慘淡經營
NCJT	司馬昭之心路人皆知
NCKF	怪味
NCKG	怡
NCKN	慘叫
NCLA	怪異
NCLH	怪罪
NCMT	慘敗
NCNA	怪异
NCNH	忬
NCNK	憰
NCPT	心馳神往
NCPV	慘案
NCPY	慘禍
NCRD	性騷擾
NCRS	慘殺
NCTG	恈
NCTQ	怪物
NCUC	慘痛
NCUN	怪癖
NCWN	怪僻
NCWT	悛
NCWW	怪人
NCWX	性能价格比
NCYJ	慅
NCYT	怪話
NCYW	怪論
NCYY	㣾
NDAE	惰
NDAF	墯
NDBB	怀孕
NDBT	民不聊生
NDCE	恨不能
NDCN	怀柔县
NDCY	翇
NDDE	怀有
NDDG	怀古
NDDY	避而不談
NDEG	㤢
NDET	懮
NDEY	悵
NDFE	屒
NDFH	㤒
NDFJ	㦋
NDFN	恗
NDGE	履歷表
NDGF	居于
NDGK	憾事
NDGN	憾事
NDHF	恠
NDHG	怌
NDHJ	恰在此時
NDHK	㤳
NDHN	懳
NDHY	慽
NDJN	㤿
NDJY	懨
NDKG	㤑
NDKH	居中
NDMD	愐
NDMH	怖
NDMR	以太网
NDMS	忙不過來
NDMY	頨
NDNA	居民区
NDNB	敢不敢
NDNT	惰性
NDNV	怀恨在心
NDNY	居心
NDOY	恢复
NDPG	居室
NDPS	怀宁
NDPV	怀安
NDQD	居然
NDQQ	居多
NDQY	居留
NDRI	㥳
NDRO	獎勵製度
NDRQ	怀抱
NDRR	慡
NDSD	情有可原
NDSH	怀想
NDSI	必不可少
NDSK	㥓
NDSQ	必不可免
NDTB	恬不知恥
NDTF	㤽
NDTJ	恢复
NDTS	情不自禁
NDTT	恢復了
NDUI	憭
NDUN	心灰意懶
NDUU	心灰意冷
NDVH	慘不忍睹
NDWF	怀仁堂
NDWI	㥭
NDWK	心有余而力不足
NDWN	心有余悸
NDWO	鶋
NDWW	悏
NDWX	怀化
NDWY	居住
NDXM	以太網
NDXT	怀疑一切
NDYT	已成為
NDYW	居於
NDYY	忲
NEAN	懚
NEAO	民用工業
NEAR	必須堅持
NEBW	以貌取人
NEEE	恊
NEEG	慆
NEFX	必須增強
NEGC	愋
NEGF	屈服于
NEGG	怚
NEGW	懙
NEHC	㥰
NEHD	必須具有
NEIF	選舉法
NEIR	必須掌握
NEIU	必須注意
NEJG	必須是
NEKE	心服口服
NEMM	收受賄賂
NENS	民用飛機
NEPC	㥅
NEPF	必爭之地
NEPK	心腹之患
NEPT	懓
NEQP	心胸狹窄
NEQQ	獎學金
NERB	必須指出
NERG	必須看到
NERJ	必須按照
NERM	愮
NERO	選舉製度
NERQ	必胜的
NERR	尼加拉瓜
NESA	選舉權
NESY	㥒
NETP	民用航空
NETW	必須符合
NETX	以勝利而告終
NEUG	心臟病
NEUH	必須首先考慮
NEUT	必須遵循
NEUU	心胸開闊
NEWF	裝腔作勢
NEWW	慣用伎倆
NEWY	㥚
NEXD	慀
NEXG	必須統一
NEXJ	選舉結果
NEXT	必須貫徹
NEXY	必須強調
NEYG	必須認識到
NEYK	民用產品
NEYU	心力交瘁
NEYW	屈服於
NFAM	憤怒
NFAS	壯志難酬
NFBK	屆時
NFBL	怯陣
NFBN	展示了
NFCE	㤼
NFCI	厾
NFCK	收款台
NFCL	㥺
NFCY	怯
NFDB	迅雷不及掩耳
NFDJ	懦
NFDN	屢教不改
NFDW	以勢壓人
NFFG	㤬
NFFJ	怯場
NFFK	收款臺
NFFN	㞑
NFFP	惊魂未定
NFFQ	憢
NFFS	壯志未酬
NFFW	懦夫
NFFY	恃强凌弱
NFGC	將達到
NFGF	慎于
NFGK	迅速发展
NFGT	收支平衡
NFHG	㥀
NFHW	慎重
NFHY	懴
NFIA	屆滿
NFIC	叞
NFIE	褽
NFIF	尉健行
NFIG	犚
NFIH	心靈深處
NFIJ	螱
NFIN	慰问
NFIO	熨
NFIY	怽
NFJF	屆時
NFJJ	蝨
NFKE	憉
NFKF	懛
NFKG	恄
NFKK	憘
NFKN	心直口快
NFKW	㦭
NFLF	違者罰款
NFLN	慎思
NFMR	局域网
NFNF	懤
NFNN	情報局
NFNR	怯聲怯氣
NFNV	憤慨
NFOF	㷉
NFOO	懗
NFOY	㤸
NFPB	悖
NFPH	懥
NFPK	迅速
NFPU	屠宰
NFQA	尉氏
NFQD	憤然而起
NFQF	避雷針
NFQN	忨
NFQT	迅猛发展
NFRG	迅捷
NFRN	情報所
NFRS	屠殺
NFRW	改朝換代
NFSF	情報檢索
NFTB	䣝
NFTF	异教徒
NFTG	慎重
NFTJ	屠
NFTO	鷵
NFTP	局勢穩定
NFTX	恅
NFTY	情勢升高
NFUA	情真意切
NFUF	悻
NFUK	慰問團
NFUY	心地善良
NFVC	迅即
NFWG	展示會
NFWK	懎
NFWO	鳵
NFWT	㥄
NFXM	局域網
NFXU	懦弱
NFYW	慎於
NGAE	懶散
NGAG	以毒攻毒
NGAK	刁難
NGBB	屋子
NGBH	那么
NGBM	悟出
NGBN	忳
NGBU	敢死隊
NGCF	屋
NGCJ	剭
NGDB	怕丟面子
NGDE	司長
NGDF	慘遭不幸
NGDG	情感
NGDM	屋面
NGDN	悿
NGDR	情愿
NGEF	愽
NGEG	情况
NGEP	情愛
NGEQ	那兒
NGER	心理學
NGEW	以理服人
NGEY	悑
NGFB	迅速地
NGFD	快速增長
NGFH	情趣
NGFU	情報所
NGFW	情勢升高
NGGA	情形
NGGC	悟到
NGGD	那天
NGGF	以至于
NGGJ	情理
NGGR	慘遭毒手
NGGS	那末
NGGW	民事責任
NGHG	恆
NGHO	㥼
NGHX	那些
NGIA	懶漢
NGIF	司法
NGIK	情況下
NGIL	恆溫
NGIO	民事法庭
NGIW	屋脊
NGIY	㞗
NGJF	慱
NGJG	那是
NGJN	憓
NGJT	恆星
NGJY	情景
NGKB	孠
NGKD	司法
NGKG	悟出
NGKI	悚
NGKL	愊
NGKM	懶漢
NGKQ	覗
NGKR	㤦
NGKU	㤱
NGKY	䛐
NGLN	情思
NGMA	那曲
NGME	屍體
NGMH	情由
NGMI	㞖
NGMJ	慒
NGMR	情网
NGMW	怲
NGMY	㥽
NGND	情怀
NGNN	民政局
NGNT	悟性
NGNY	怴
NGOB	民政廳
NGPG	恆定
NGPR	以事實為根據
NGPW	民事案件
NGQJ	㤡
NGQT	慠
NGQX	屍體
NGQY	改正錯誤
NGRD	改頭換面
NGRF	改天換地
NGRK	情操
NGRL	改正缺點
NGRO	快速反應
NGRQ	以下的
NGRT	心平气和
NGSD	屋頂
NGSU	那樣的
NGSW	司机
NGSX	司機
NGTC	那么回事
NGTE	那般
NGTG	疏于管理
NGTH	那邊
NGTJ	懶得
NGTK	那种
NGTT	那種
NGTU	改惡從善
NGTV	情節嚴重
NGUF	怦
NGUJ	情意
NGUK	民政部
NGUQ	那次
NGVF	情書
NGVH	恰到好處
NGVV	悽
NGWK	情侶
NGWL	那個
NGWN	迅速發展
NGWV	情分
NGWW	情人
NGWY	司令员
NGXF	情緒激昂
NGXI	愫
NGXL	以下幾點
NGXM	情網
NGXW	恞
NGXX	民事糾紛
NGYM	情調
NGYP	情誼
NGYU	情商
NGYW	以至於
NGYY	民事訴訟
NHAA	收工
NHAD	收藏
NHAE	懅
NHAF	㦆
NHAG	憈
NHAH	臦
NHAI	收匯
NHAJ	臩
NHAK	疏勒
NHAO	燛
NHBC	收取
NHBG	丑陋
NHBH	郿
NHBW	疏附
NHCE	疏通
NHCU	叏
NHCY	収
NHDA	戕
NHDC	疏鬆
NHDD	屝
NHDE	裝
NHDF	將
NHDG	醬
NHDH	牅
NHDI	漿糊
NHDJ	螿
NHDK	牆
NHDN	收成
NHDO	焋
NHDQ	銺
NHDR	斨
NHDS	槳
NHDV	妝
NHDY	狀
NHEF	胥
NHEG	壯舉
NHEP	收受贿赂
NHEQ	壯膽
NHEW	牆腳
NHFC	叚
NHFF	收款台
NHFG	將士
NHFH	收起
NHFJ	收場
NHFK	疏遠
NHFL	裝載
NHFM	䫗
NHFN	壯志未酬
NHFP	遐想
NHFQ	狀元
NHFU	牆報
NHFW	㰺
NHGA	裝璜
NHGC	收到了
NHGH	卍
NHGI	疎
NHGK	丑事
NHGM	壯麗
NHGQ	壯烈
NHHC	戄
NHHH	眉目
NHHI	眉縣
NHHY	懼怕
NHIA	裝潢
NHIC	收治
NHIK	狀況
NHIN	疏漏
NHIP	獎賞
NHJF	悼念
NHJG	疍
NHJU	蛋白
NHKG	怗
NHKH	心目中
NHKK	獎品
NHKR	收听
NHLF	裝置
NHLG	裝車
NHLH	裝甲兵
NHLK	收回
NHLM	收買
NHLX	收羅
NHLY	獎罰
NHMA	收購價格
NHMH	裝幀
NHMM	眉山
NHNH	獎狀
NHNK	牆壁
NHNR	懼怕
NHNT	收尾
NHOD	蛋類
NHOU	蛋糕
NHPD	收割
NHPH	將官
NHPL	將軍
NHPU	裝裱
NHPW	收容审查
NHPX	壯實
NHQE	丑角
NHQG	鹛
NHQN	悓
NHQQ	獎金稅
NHQR	疏忽大意
NHQT	收獲
NHQX	收錄機
NHQY	收留
NHRG	收兵
NHRH	收看
NHRN	收据
NHRP	將近
NHRQ	以上的
NHRR	蛋白质
NHRU	收攏
NHRW	收拾
NHRX	眉批
NHSG	裝配線
NHSH	遐想
NHSI	眉梢
NHSV	將要
NHSW	疏松
NHSX	裝機容量
NHSY	將校
NHTE	收盤
NHTF	眉毛
NHTH	獎牌
NHTJ	收复
NHTM	獎懲製度
NHTO	收悉
NHTS	裝箱
NHTT	收復
NHTW	收稅
NHTY	收
NHUD	獎券
NHUF	收養
NHUI	壯闊
NHUJ	收音
NHUT	疏導
NHUW	收益分配
NHWA	裝備
NHWG	將會
NHWH	裝修
NHWJ	已見分曉
NHWN	將帥
NHWO	鶥
NHWT	裝作
NHWX	丑化
NHWY	收集
NHXD	以上幾個方面
NHXJ	收費站
NHXM	收納
NHXP	收縮
NHXR	收繳
NHXY	收編
NHYD	以此為基礎
NHYG	狀語
NHYI	以此為準
NHYK	疏
NHYN	悼詞
NHYO	以此為榮
NHYR	以此為根據
NHYS	裝訂
NHYT	將為
NHYW	收效
NHYY	收文
NIAF	情況匯報
NIED	屑
NIEG	悄悄
NIEQ	以少胜多
NIEX	違法亂紀
NIFD	飛沙走石
NIFT	違法者
NIGC	遲到
NIGG	情溢于表
NIGH	情況下
NIGQ	恍然大悟
NIGW	尼泊爾
NIGX	尿素
NIHD	以小見大
NIHT	眉清目秀
NIIA	遲滯
NIII	心潮澎湃
NIIT	違法活動
NIIU	懶洋洋
NIJF	遲早
NIJG	䎓
NILA	屬國
NILI	劈波斬浪
NILJ	屬
NILL	遲浩田
NILR	斸
NIMK	惝
NINF	違法違規行為
NINI	悄悄
NINP	違法必究
NINQ	恍惚
NINT	屬性
NINX	違法違紀
NINY	違法違規行為
NIPF	憆
NIPO	戃
NIPX	屬實
NIQB	違法犯罪分子
NIQD	悄然
NIQG	遲鈍
NIQL	違法犯罪分子
NIRB	悩
NISA	司法權
NISU	司法機關
NITG	犀利
NITH	遲延
NITJ	犀利
NITP	遲浩田
NITX	以法律為準繩
NITY	違法行為
NIUK	司法部
NIUU	司法部門
NIXE	遲緩
NIXO	違法經營
NIXT	遲疑不決
NIYG	情溢於表
NIYW	屬於
NJAI	懪
NJDP	心照不宣
NJEF	避暑胜地
NJFG	悝
NJFH	悍然
NJGF	㥂
NJGG	怛
NJGH	惿
NJGR	愓
NJGW	尼日爾
NJHG	丱
NJHY	心明眼亮
NJIQ	愰
NJKK	劈里啪啦
NJKM	民盟中央
NJLC	慢性
NJLG	慢車
NJMA	避暑山莊
NJMN	㦙
NJMO	避暑山庄
NJMY	㥥
NJNQ	牆里牆外
NJNT	慢性病
NJPN	心曠神怡
NJQD	悍然
NJQN	愒
NJQR	惕
NJRQ	那時的
NJRY	㤤
NJSY	惈
NJTG	惺
NJWH	那時候
NJXT	䎈
NJXX	惃
NJYI	憬
NJYY	㥗
NKAB	郼
NKAC	䪗
NKAE	韜
NKAF	韚
NKAG	䪒
NKAH	韋
NKAJ	韣
NKAK	韐
NKAL	韞
NKAM	韥
NKAN	韢
NKAO	䪕
NKAP	違反
NKAS	韎
NKAT	䪐
NKAW	䪏
NKAX	䪑
NKAY	韌
NKBB	避孕药
NKCN	悒
NKDL	心中有數
NKEG	悁
NKEY	臂膀
NKFG	避雨
NKFT	違者罰款
NKGD	悮
NKGG	悜
NKHH	忡
NKHM	憒
NKHN	㥙
NKHY	䎌
NKIE	忙中添亂
NKIF	違法行為
NKJF	避暑山庄
NKKL	憚
NKKN	愕
NKKS	懆
NKKT	㦍
NKKW	譬喻
NKLL	壁壘森嚴
NKMH	屌
NKMM	璧山
NKMY	愪
NKND	悞
NKNE	屢戰屢勝
NKNT	韌性
NKNU	屢戰屢北
NKNY	違心
NKPA	避寒
NKQK	避免
NKQN	怳
NKQT	違犯
NKRC	違反了
NKRF	壁挂
NKRL	心中無數
NKRY	違抗
NKSS	違禁品
NKTK	♂
NKUB	孹
NKUD	礕
NKUE	臂
NKUF	壁画
NKUG	
NKUH	幦
NKUI	繴
NKUJ	臂章
NKUN	憵
NKUO	糪
NKUP	避免
NKUQ	鐾
NKUR	擘
NKUS	檗
NKUV	劈
NKUX	鼊
NKUY	譬
NKVF	壁畫
NKVG	心口如一
NKVK	譬如
NKVU	避嫌
NKWG	違例
NKWT	避風港
NKWY	怾
NKXN	違紀違法
NKXQ	違約
NKYA	以史為鑒
NKYN	避諱
NLAD	以點帶面
NLAG	慖
NLAW	翼城
NLEG	㥜
NLEP	屢受
NLEY	那還用說
NLFD	翼城
NLFF	懌
NLGE	愄
NLGM	屢遭
NLKG	恛
NLLG	裝甲車
NLNL	屢屢得手
NLNR	慚愧
NLNY	愢
NLPY	慩
NLRG	裝甲兵
NLRH	慚愧
NLSK	壁壘森嚴
NLSY	悃
NLUB	裝甲部隊
NLUQ	屢次
NLUT	快車道
NLVD	屢屢
NLVG	慺
NLWL	慍
NLXY	㦬
NLYG	㦒
NLYT	愣
NMAE	憹
NMAW	㥏
NMDJ	惴
NMDY	怏
NMEG	愲
NMFK	惆怅
NMFP	尸骨未寒
NMGK	恫嚇
NMGU	愷
NMHC	㕞
NMHJ	刷新
NMIT	刷洗
NMJG	收購量
NMJH	惻
NMKF	恫嚇
NMMA	异曲同工
NMMM	屭
NMND	惆悵
NMNY	心貼心
NMPK	必由之路
NMPT	收購額
NMRK	情同手足
NMRR	刷白
NMTU	改過自新
NMUH	收購站
NMUN	惘
NMUS	刷新纪录
NMWK	㤯
NMWS	收購價格
NMWY	慛
NMYV	收購計劃
NNAC	敯
NNAH	睯
NNAI	居心叵測
NNAJ	刡
NNAK	居民區
NNAM	㟩
NNAN	㥸
NNAO	鴖
NNAP	選
NNAT	敃
NNAW	巽
NNBB	慢性子
NNBC	選取
NNBM	選出
NNBT	㦑
NNBV	局限于
NNDD	忙忙碌碌
NNDE	局長
NNDF	悻悻而去
NNDG	快感
NNDH	必將在
NNDJ	惶惶不可終日
NNDM	局面
NNDN	怀恨在心
NNDO	選礦
NNDQ	習慣成自然
NNDT	已故
NNED	層層加碼
NNEE	慢慢騰騰
NNEG	選舉結果
NNEH	選用
NNER	選學
NNFB	愉快地
NNFE	習慣勢力
NNFU	快報
NNFW	局勢穩定
NNFY	羽壇
NNGA	乙型
NNGF	快于
NNGJ	㓸
NNGK	快速
NNGN	己
NNGR	斲
NNGW	巺
NNHE	㥠
NNHF	忸
NNHH	快步
NNHK	屫
NNHQ	快餐
NNHU	屢屢見諸報端
NNIJ	慷慨激昂
NNIR	選派
NNIT	快活
NNJG	選題
NNKH	愇
NNLF	居民點
NNLG	快車道
NNLL	乙
NNMA	選購
NNME	尸骸
NNMK	心惊肉跳
NNNA	怋
NNNF	快慰
NNNH	已將
NNNI	繠
NNNJ	惽
NNNL	羽翼
NNNN	已经
NNNS	橤
NNNT	習慣性
NNNU	惢
NNNW	㦏
NNOA	選煤
NNOG	必將對
NNOU	選料
NNPG	選定
NNQG	慷慨解囊
NNQH	局外人
NNQR	眉飛色舞
NNQT	已獲
NNQW	㰝
NNQX	選錄
NNRB	屢屢提出
NNRD	選拔任用
NNRG	慴
NNRH	快遞
NNRL	選擇性
NNRM	惰性氣體
NNRP	憔悴的面容
NNRR	惊慌失措
NNRT	快手
NNRW	惰性气体
NNRX	快樂
NNSF	選票
NNSG	選配
NNSQ	心心相印
NNSR	恰恰相反
NNSV	快要
NNSW	慢慢來
NNTD	已知
NNTE	快艇
NNTF	羽毛球
NNTH	選自
NNTR	屢屢得手
NNTT	怭
NNTW	居民委員會
NNTY	攺
NNUD	選送
NNUE	心慌意亂
NNUG	慢性病
NNUH	快門
NNUJ	快意
NNUK	局部地区
NNVB	選好
NNVQ	已婚
NNWC	㱼
NNWE	憀
NNWH	選修
NNWJ	心情舒暢
NNWK	局促不安
NNWO	鵋
NNWS	尸体
NNWT	己任
NNWW	選人
NNWY	快
NNXA	羽絨
NNXB	局級
NNXG	已經成為
NNXN	怩
NNXS	㥡
NNYE	心悅誠服
NNYG	羽
NNYI	習以為常
NNYL	選譯
NNYM	選調
NNYN	快訊
NNYW	習慣於
NOAW	懭
NODN	已類左框心屍羽
NOGF	㦠
NOHK	惦记
NONA	憐惜
NONU	憐憫
NONV	慷慨解囊
NONX	㦇
NOOE	憦
NOOY	惔
NOQH	憐憫
NOSC	懡
NOSD	戂
NOTO	民營科技企業
NOTR	民營科技企業
NOUE	心煩意亂
NOVG	㥪
NOVH	慵懒
NOVI	慷慨
NOWO	民營企業
NOWY	惦念
NOXI	民營經濟
NOYH	以鄰為壑
NOYN	惦記
NPCN	慎之又慎
NPDB	悔之不及
NPDI	屪
NPDN	㦥
NPDP	心神不定
NPFI	悰
NPGG	愃
NPGT	心安理得
NPHN	悺
NPJC	悔之晚矣
NPJW	慏
NPLH	惲
NPLJ	翚
NPLQ	居安思危
NPME	心寬體胖
NPNA	惋惜
NPNB	避之惟恐不及
NPNS	懧
NPPS	收容審查
NPQB	惋惜
NPQN	忱
NPRN	收容所
NPSH	㤖
NPST	以禮相待
NPTA	㤞
NPTK	愘
NPTM	恨之入骨
NPWA	悾
NPWI	屄
NPWK	愹
NPWS	㤾
NPYX	收視率
NQAJ	惛
NQAN	忯
NQAY	怟
NQBT	
NQCK	懈怠
NQDB	恑
NQDF	憤然而起
NQDN	恍然大悟
NQDO	㦓
NQDQ	恨鐵不成鋼
NQDU	疏忽大意
NQDY	憺
NQEG	懈
NQFF	必然趨勢
NQFK	收銀臺
NQFT	必然規律
NQFX	飛針走線
NQGG	必然遭到
NQGK	慢鏡頭
NQGL	必然王國
NQGQ	以色列
NQIE	民怨沸騰
NQIY	恌
NQJB	惸
NQJG	恂
NQKG	怐
NQKK	展銷品
NQKM	收銀員
NQKN	展銷中心
NQKQ	悗
NQMD	愌
NQNN	怉
NQNT	必然性
NQOO	心急火燎
NQOY	㥌
NQQI	㞔
NQQY	恀
NQRB	恟
NQRD	以卵投石
NQRN	惚
NQRU	心狠手辣
NQSX	收錄機
NQTO	以逸待勞
NQTW	獎金稅
NQUC	心猿意馬
NQVG	
NQVS	心急如焚
NQWG	必然會
NQWN	迅猛發展
NQWW	局外人
NQWY	忺
NQXJ	必然結果
NQYG	鸤
NQYJ	懰
NQYQ	將錯就錯
NQYY	㣿
NRAD	怕苦怕累
NRAK	惶惑
NRAW	惶恐不安
NRAY	㦻
NRBH	忷
NRBN	違反了
NRBT	惾
NRCY	㤆
NRDC	恡
NRDH	悕
NRDR	屈打成招
NREH	習用
NRFD	忻城
NRFP	違反規定
NRFQ	翫
NRGG	惶惑
NRGK	怕事
NRGQ	怕死
NRGT	屈指一算
NRHW	㥴
NRII	習水
NRJG	習題
NRKK	蛋制品
NRKY	飛揚跋扈
NRLL	怕纍
NRLO	憮
NRLX	怕累
NRMX	以失敗而告終
NRNO	愾
NRNR	惶惶
NRNT	選擇性
NRNX	習慣於
NRPA	選拔賽
NRQC	愧
NRQW	惞
NRRM	懫
NRRN	習氣
NRRR	蛋白質
NRRY	㤊
NRSA	選擇權
NRSL	屈指可數
NRUG	怕羞
NRUQ	愧疚
NRUT	違反道德
NRUV	愧歉
NRUW	情投意合
NRWE	選拔任用
NRWJ	飁
NRWT	習作
NRWU	慘無人道
NRWW	怕人
NRWY	怢
NRXS	㦡
NRYN	以提高經濟效益為中心
NRYT	憿
NSDH	屢禁不止
NSDX	屢禁不絕
NSFI	慓
NSFJ	飛機場
NSFN	飛檐走壁
NSGG	㤓
NSHF	眉來眼去
NSJF	憛
NSKK	違禁品
NSNF	敢想敢干
NSNT	必要性
NSOT	必要勞動
NSOY	憟
NSPJ	裝機容量
NSRQ	必要的
NSRT	飛機製造
NSRY	必要措施
NSSF	飛機票
NSSH	憷
NSSI	㦗
NSSY	慄
NSTK	違禁物品
NSWS	裝模作樣
NSWW	必要條件
NSXR	裝配線
NSYT	以權謀私
NSYY	怵
NTAA	恆等式
NTAD	改期
NTAK	改革
NTAN	屜
NTAQ	履帶
NTAS	屧
NTBB	性子
NTBC	履行職能
NTBD	尾隨
NTBG	悸
NTBH	邲
NTBN	恢复了
NTCE	性能价格比
NTCN	尾巴
NTDB	飛行大隊
NTDE	必有
NTDG	恬
NTDJ	㤭
NTDK	憍
NTDN	改成
NTDO	尾礦
NTDP	㦀
NTDT	履歷
NTDY	忙得不可開交
NTED	必須堅持
NTEH	改用
NTEP	性愛
NTET	必胜的
NTEU	必勝的
NTFB	屘
NTFC	屐
NTFD	必需品
NTFE	㞚
NTFF	屗
NTFH	忤
NTFI	㞙
NTFJ	㦧
NTFK	悎
NTFM	㦫
NTFN	尾
NTFP	慥
NTFQ	以德報怨
NTGB	以身殉職
NTGD	改天换地
NTGE	慟
NTGF	屛
NTGG	性
NTGH	改正错误
NTGI	憡
NTGK	以利再戰
NTGO	飛行速度
NTGS	㤚
NTGT	羽毛球運動
NTGY	以後再談
NTHD	㞒
NTHF	怍
NTHG	慎重處理
NTHH	屣
NTHQ	覕
NTHX	那么些
NTID	飛短流長
NTIG	收入水平
NTJH	悧
NTJJ	改日
NTJL	惟利是圖
NTJR	慯
NTJT	愎
NTKG	恪守
NTKJ	㔉
NTKK	改口
NTKM	飛行員
NTKQ	性別
NTKT	情節嚴重
NTLG	那么回事
NTLH	悔罪
NTLN	憁
NTLS	改造思想
NTLV	屨
NTMD	懊悔
NTMK	恦
NTMN	改過
NTMT	必敗
NTMW	心得體會
NTNG	性情
NTNH	必將
NTNI	以郵戳日期為準
NTNN	忔
NTNR	改習
NTNT	忏悔
NTNV	悔恨
NTOL	憣
NTOY	愀
NTPE	改寫
NTPF	恪守
NTPG	必定
NTPI	㞏
NTPU	恤衫
NTPW	改造社會
NTQA	改錯
NTQD	必然会
NTQE	恢復名譽
NTQK	改名
NTQQ	快得多
NTQV	性急
NTRH	改掉
NTRL	恆生指數
NTRO	獎懲製度
NTRQ	改換
NTRR	性質
NTSI	心血來潮
NTST	性格
NTSV	必要的
NTTE	改稱
NTTF	改造社会
NTTG	履行
NTTH	改版
NTTJ	必得
NTTK	屩
NTTT	履
NTTU	改乘
NTTV	㞜
NTTY	改稿
NTUC	履行義務
NTUG	改善
NTUT	改道
NTUY	㤏
NTVB	㦢
NTVG	改建
NTVP	改嫁
NTWA	必備
NTWG	性命
NTWH	必修
NTWM	履行合同
NTWN	尾追
NTWO	鴓
NTWS	收盤價
NTWT	改任
NTWU	以我個人的名義
NTWY	改進工作
NTXE	改組
NTXJ	㞛
NTXY	悔
NTYI	以身試法
NTYL	避重就輕
NTYS	改訂
NTYT	改為
NTYV	改良品种
NTYW	以利於
NTYX	改變了
NTYY	履行諾言
NUAA	民間工藝
NUAH	恲
NUAJ	屏幕
NUAK	屏幕
NUAT	民間藝術
NUAU	屏蔽
NUAW	民間藝人
NUBN	改善了
NUBU	屏障
NUBW	屏除
NUCO	飛馳
NUDB	惓
NUDF	飛奔
NUDG	民間故事
NUDH	慻
NUDM	層面
NUDV	惱羞成怒
NUEG	憪
NUEQ	㦦
NUEU	飛騰
NUEY	㥞
NUFA	局部地區
NUFD	以資鼓勵
NUFE	懩
NUFH	飛越
NUFJ	慰問電
NUFK	屖
NUFM	屏南
NUFP	遟
NUFT	違章者
NUFU	層報
NUFW	民辦教師
NUGD	飛天
NUGF	改善環境
NUGG	羼
NUGH	怑
NUGI	㦨
NUGK	飛速
NUGL	㦈
NUGP	遅
NUHT	眉開眼笑
NUIC	民意測驗
NUIM	飛濺
NUIX	飛漲
NUJF	憧
NUJG	愔
NUJJ	翌日
NUJN	憶苦思甜
NUKE	局部戰爭
NUKG	㥉
NUKH	飛躍
NUKK	慰問品
NULG	慰問團
NULJ	層
NULM	民間團體
NULR	以美國為首的
NUMM	屏山
NUMN	飛過
NUNJ	憧憬
NUNN	飛快
NUNU	層層落實
NUNV	憎恨
NUNY	㦖
NURH	翌年
NURJ	飛揚跋扈
NURK	民間舞蹈
NURL	飛舞
NURN	屏气
NURQ	局部的
NURW	以資抵債
NUSD	㞟
NUSG	㥢
NUSS	民間機構
NUSW	收音机
NUSX	飛機
NUTD	愱
NUTE	飛船
NUTG	飛行
NUTH	飛
NUTI	改善生活
NUTM	飛向
NUTR	民間科技
NUTU	局部利益
NUTY	飛往
NUUE	飛龍
NUUG	飛翔
NUUQ	層次分明
NUVF	翣
NUVO	慊
NUVT	違章建築
NUWE	民辦公助
NUWJ	層次分明
NUWK	裝聾作啞
NUWS	收益分配
NUWU	居首位
NUWV	飛鳥
NUWY	飛進
NUXB	層級
