AAA	工
GVY	副書記
GWA	玳
GWB	玱
GWC	玜
GWD	瑖
GWE	珍
GWF	現代教育
GWG	瑜
GWH	整体上
GWI	整体水平
GWJ	玠
GWK	珍品
GWL	救命恩人
GWM	爾
GWN	瑡
GWO	青飼料
GWP	万分之
GWQ	專人負責
GWR	五体投地
GWS	珍本
GWT	珍稀
GWU	兲
GWV	玢
GWW	一体化
GWX	責任編輯
GWY	玲
GXA	毒草
GXC	互通
GXD	素有
GXE	互助
GXF	瑻
GXG	互
GXH	纛
GXI	素
GXJ	毒蛇
GXK	毒品
GXL	正統思想
GXM	再經過
GXN	毒性
GXP	毒害
GXQ	互勉
GXR	毒气
GXS	互相
GXT	互利
GXU	毒
GXW	夷
GXX	璣
GXY	互訪
GYA	理論基礎
GYB	班子
GYC	琉
GYD	一方面
GYE	珳
GYF	天主教
GYG	斑
GYH	玣
GYI	玉
GYJ	再就是
GYK	瓖
GYL	璮
GYM	玉山
GYN	一言以蔽之
GYO	平方米
GYP	更衣室
GYR	璃
GYS	玉林
GYT	班
GYU	璾
GYV	瑯
GYW	珓
GYX	玹
GYY	玟
HAA	虐
HAB	劇院
HAD	睰
HAE	皻
HAF	虞城
HAG	劇
HAH	頥
HAI	瞄準
HAJ	虛
HAK	虞
HAL	瞄
HAM	瞞
HAN	歫
HAO	覷
HAP	矇
HAQ	
HAR	眍
HAS	虨
HAT	處
HAU	瞄准
HAV	虍
HAW	虎
HAX	獻給
HAY	虔
HBA	齖
HBB	齱
HBC	齝
HBD	齮
HBE	齟
HBF	齻
HBG	眲
HBH	齜
HBJ	齒
HBK	齪
HBL	齫
HBM	䶡
HBN	齷
HBP	齳
HBQ	齣
HBR	齗
HBS	齼
HBT	齲
HBU	齴
HBV	齦
HBW	齡
HBX	齔
HBY	齩
HCA	皮革
HCB	皮子
HCC	眼巴巴
HCD	頗
HCE	頗受
HCF	皯
HCG	皮球
HCH	皮膚
HCI	皮
HCJ	㓟
HCK	眙
HCM	皮肉
HCN	瞲
HCP	皹
HCQ	皰
HCS	皮棉
HCT	眸
HCU	攴
HCV	㿪
HCW	皮貨
HCY	頗為
HDA	矋
HDB	輩出
HDD	卓有成效
HDE	歲月
HDF	睚
HDG	歲
HDH	輩
HDI	非常
HDJ	占有量
HDK	悲嘆
HDL	具有國際先進水平
HDM	頉
HDN	翡翠
HDP	見面禮
HDQ	斐然
HDS	悲歌
HDT	具有重要的
HDU	瞭
HDV	目不忍睹
HDW	睶
HDX	眬
HDY	狊
HEA	頗受歡迎
HEB	卡脖子
HEF	肯
HEG	眀
HEH	瞍
HEJ	瞬時
HEL	䂃
HEN	鬥爭性
HEP	瞬
HEQ	睨
HER	䁘
HES	睬
HET	䀐
HEU	瞬間
HEV	睜
HFB	上臺階
HFC	歧
HFD	處境尷尬
HFF	眭
HFH	盰
HFI	眎
HFJ	鬥志昂揚
HFK	睵
HFL	歧異
HFM	歧山
HFN	歧异
HFO	睦鄰
HFP	歧視
HFQ	盶
HFS	縣直機關
HFT	睹
HFU	歧義
HFW	睦
HFY	悲喜交集
HGA	上工
HGB	盹
HGC	眰
HGD	上
HGE	睛
HGF	盱
HGG	鬧
HGH	卡
HGI	叔
HGJ	上映
HGK	上路
HGL	上回
HGM	歵
HGN	忐
HGO	上火
HGP	上空
HGQ	上旬
HGR	卡拉
HGS	眜
HGT	上升
HGU	上前
HGV	睫
HGW	仧
HGX	眱
HGY	上市
HHA	矑
HHB	步子
HHC	步驟
HHD	頻
HHF	止境
HHG	止
HHH	目
HHI	目光
HHK	目瞪口呆
HHL	丨
HHN	愳
HHO	煛
HHP	瞾
HHQ	睍
HHR	步
HHS	目標
HHT	步入
HHU	歨
HHV	非此即彼
HHW	瞿
HHX	瞠目結舌
HHY	頻率
HIB	非法出版物
HID	非常成功
HIE	睄
HIF	縣城
HIG	懸殊
HII	非常清楚
HIJ	非常明顯
HIK	非常嚴重
HIL	非洲國家
HIM	懸崖
HIN	非常快
HIO	非常精彩
HIP	矘
HIQ	非常危險的
HIR	非法所得
HIS	柴油机
HIT	縣
HIU	非常痛快
HIV	非常好
HIW	非常保守
HIX	縣級
HIY	上海市
HJA	卓著
HJB	桌子
HJD	桌面
HJE	非暴力手段
HJF	卓
HJG	睼
HJH	眒
HJI	䁜
HJP	䁙
HJQ	児
HJS	桌
HJT	睲
HJU	卓資
HJX	卓絕
HJY	卓識
HKB	䁒
HKC	梷
HKD	奌
HKE	睊
HKF	占地
HKG	睈
HKH	覘
HKJ	㓠
HKK	瞣
HKM	䁚
HKN	乩
HKP	迠
HKQ	眖
HKR	占据
HKT	占先
HKW	占住
HLE	䁌
HLF	盀
HLG	睤
HLK	㔽
HLL	見異思遷
HLM	䁲
HLO	鹹
HLR	卥
HLS	睏
HLV	瞜
HLW	㮚
HLX	縣團級
HMA	欳
HMD	眏
HMF	睭
HMG	眮
HMH	具體目標
HMI	非同小可
HMM	具體內容
HMN	卣
HMP	遉
HMQ	具體負責
HMR	具體措施
HMS	具體要求
HMT	貞節
HMU	貞
HMV	非同尋常
HMW	具體化
HMX	懸崖絕壁
HMY	具體方法
HNA	眠
HNB	瞰
HND	鼎
HNE	虛心學習
HNG	肯尼亞
HNH	睱
HNI	矚
HNK	䁹
HNM	凹
HNN	㠯
HNR	悲慘的
HNT	處心積慮
HNU	鼎立
HNV	郻
HNW	矅
HNX	眤
HOA	矌
HOB	歯
HOD	睦鄰友好
HOG	瞨
HOI	柴米油鹽
HON	虛榮心
HOO	睒
HOP	瞇
HOQ	瞵
HOR	虛度年華
HOU	睦鄰關係
HOV	瞊
HPB	瞎子
HPD	瞎
HPE	肻
HPF	睆
HPG	睿
HPH	虎視眈眈
HPJ	瞑
HPL	睴
HPN	矃
HPQ	眈
HPR	瞎搞
HPS	眝
HPT	敹
HPV	㢟
HPY	非官方
HQA	眂
HQB	見
HQC	餐
HQD	瞻
HQF	見報
HQG	見到
HQH	覞
HQI	眺
HQJ	眴
HQK	眗
HQL	餐車
HQM	矎
HQN	非金屬
HQO	餐廳
HQQ	眵
HQR	覐
HQS	見機
HQT	覹
HQU	歺
HQV	見好
HQW	瞻仰
HQX	紫外線
HQY	眺望
HRA	獻殷勤
HRB	䁓
HRC	眅
HRD	睎
HRE	眽
HRF	瞃
HRG	虛擬現實
HRH	盺
HRI	目無法紀
HRL	瞴
HRN	目的性
HRP	矈
HRQ	䁛
HRR	瞎指揮
HRS	虛無飄渺
HRT	睥
HRU	目的意義
HRW	眣
HRX	虛無縹緲
HRY	虛無主義
HSF	瞟
HSG	目標責任製
HSH	盯
HSJ	瞫
HSK	㱒
HSS	桌椅板凳
HST	目標管理
HSU	上述問題
HSV	䁏
HSW	睞
HTA	瞬息萬變
HTD	見物不見人
HTE	歬
HTF	睡
HTG	歱
HTH	矏
HTK	上等品
HTM	矀
HTN	盵
HTO	瞅
HTP	眨
HTR	睋
HTS	睡醒
HTT	步行街
HTU	睡意
HTV	縣委書記
HTW	瞛
HTX	䀲
HTY	非生產性建設
HUC	見義勇為
HUD	眹
HUE	矓
HUF	上半場
HUG	眫
HUH	睜開眼睛
HUJ	瞳
HUK	督導員
HUL	䁬
HUM	皮開肉綻
HUN	矙
HUR	目前的
HUT	眼前利益
HUU	上半部
HUV	瞬間即逝
HUW	此間人士
HUX	睇
HUY	瞻前顧後
HVE	眼
HVF	眼熱
HVG	睷
HVH	眼睛
HVI	睩
HVK	眧
HVL	眼界
HVP	眼帘
HVQ	眼色
HVR	眼看
HVT	眼科
HVU	眼前
HVW	處女作
HVX	眼紅
HVY	見好就收
HWA	具体工作
HWB	龁
HWC	瞈
HWD	具有
HWE	眕
HWF	虛假報告
HWG	瞪
HWH	瞪眼
HWJ	見分曉
HWL	見風轉舵
HWM	具體
HWN	睺
HWO	虛假廣告
HWP	具体安排
HWQ	具名
HWR	具体措施
HWS	具体要求
HWU	具
HWV	盼
HWW	睉
HWX	具結
HWY	瞧
HXA	柴草
HXB	紫陽
HXD	砦
HXE	眑
HXF	些
HXG	此事
HXH	眥
HXI	柴油
HXJ	歶
HXK	呰
HXM	貲
HXN	此
HXO	此類
HXP	此案
HXQ	觜
HXR	矊
HXS	柴
HXT	此种
HXU	此次
HXV	姕
HXW	雌
HXX	紫
HXY	訾
HYA	鬧市區
HYC	瞮
HYF	見諸報端
HYG	步調一致
HYH	獻計獻策
HYK	瞓
HYL	䁴
HYN	盳
HYP	處於被勳狀態
HYR	瞝
HYS	步話機
HYT	眆
HYU	䁤
HYV	䀶
HYW	睟
HYX	眩
HYY	盿
IAA	淺
IAB	江陵
IAC	港台
IAD	湛
IAE	潵
IAF	泔
IAG	江
IAH	濫
IAI	洪水
IAJ	漠
IAK	灌
IAL	渵
IAM	滿
IAN	㲺
IAO	瀳
IAP	濛
IAQ	滯
IAR	泄气
IAS	柒
IAT	流芳千古
IAU	灡
IAV	沏
IAW	洪
IAX	瀕臨絕境
IAY	㳀
IBA	洗耳恭听
IBB	灄
IBC	溋
IBD	瀡
IBE	泐
IBF	池塘
IBG	洱
IBH	滍
IBI	涵
IBJ	消除影響
IBK	凼
IBL	瀆職罪
IBM	泏
IBN	池
IBP	海陸空
IBQ	決出名次
IBR	派出所
IBS	派出机构
IBT	漋
IBU	涵義
IBW	滁
IBX	㶌
IBY	滁州
ICA	汗馬功勞
ICB	常駐聯合國代表
ICC	滲
ICD	津巴布韋
ICE	湧
ICF	涌起
ICG	治理
ICH	浚縣
ICI	治水
ICJ	流通量
ICK	治
ICL	治罪
ICM	治山
ICN	汿
ICO	溤
ICP	治安
ICQ	沇
ICR	流通手段
ICS	治本
ICT	洠
ICU	治病
ICW	治愈
ICY	汊
IDA	濿
IDB	尖子
IDC	汯
IDD	深有感触
IDE	湖
IDF	涯
IDG	沽
IDH	潔
IDI	尜
IDJ	淹
IDK	湖口
IDL	湖畔
IDM	湎
IDN	厳
IDO	洃
IDP	
IDQ	減免
IDR	源
IDS	渏
IDT	瀝
IDU	尖
IDV	尖刀
IDW	湊
IDX	減弱
IDY	汰
IEA	湼
IEB	浮
IEC	淝
IED	小朋友
IEE	滔
IEF	肖
IEG	沮
IEH	溲
IEI	滔滔
IEJ	削
IEK	泇
IEL	灂
IEM	浮雕
IEN	混亂狀態
IEP	逍
IEQ	潟
IER	滛
IES	小學校
IET	淫
IEU	水力資源
IEV	淨
IEW	削价
IEX	鸂
IEY	水乳交融
IFA	灞
IFB	法院
IFC	法
IFD	濡
IFE	深圳股市
IFF	坔
IFG	汢
IFH	汗
IFI	沬
IFJ	潮
IFK	澎
IFL	瀆
IFM	湳
IFN	濤
IFO	浾
IFP	渤
IFQ	沅
IFR	法制
IFS	溨
IFT	渚
IFU	涬
IFW	淕
IFX	法紀
IFY	深圳市
IGA	汧
IGB	沌
IGC	洷
IGD	添
IGE	清
IGF	汙
IGG	汪
IGH	沔
IGI	浗
IGJ	洹
IGK	漱
IGL	湅
IGM	沛
IGN	汅
IGO	溍
IGP	清官
IGQ	耀
IGR	激烈的
IGS	沫
IGT	清算
IGU	泙
IGV	淒
IGW	挙
IGX	溼
IGY	光亮
IHA	濾
IHB	涉及
IHC	波
IHD	渄
IHE	小股
IHF	小雨
IHG	沚
IHH	涉
IHI	渺
IHJ	淖
IHK	惉
IHL	滷
IHM	湞
IHN	濎
IHO	小康
IHP	濬
IHQ	瀣
IHR	小看
IHS	小麥
IHT	小
IHU	波音
IHV	小姐
IHW	濉
IHX	泚
IHY	氺
IIA	濷
IIB	消除
IIC	港澳台
IID	消耗
IIE	消
IIF	深深地
IIG	洸
IIH	污水處理
III	淼
IIJ	涾
IIK	水路
IIL	海洛因
IIM	淌
IIN	水性
IIO	水底
IIP	漟
IIQ	淡泊名利
IIR	消失
IIS	消极
IIT	沙
IIU	水准
IIV	消退
IIW	消化
IIX	消費
IIY	沝
IJA	瀑
IJB	小日子
IJD	瀑布
IJE	混亂
IJF	沓
IJG	汨
IJH	漫步
IJI	滉
IJJ	淐
IJK	混戰
IJL	漫
IJM	湡
IJN	溻
IJO	清晰度
IJP	洩密
IJQ	渴
IJR	光明的
IJS	巣
IJT	湦
IJU	光明前景
IJV	漫畫
IJW	混合
IJX	混
IJY	灝
IKA	泥足巨人
IKB	湒
IKC	浥
IKE	涓
IKF	呇
IKG	塣
IKH	汌
IKI	沖洗
IKK	澡
IKL	沖擊
IKM	涢
IKN	沖刷
IKO	潰爛
IKP	沖突
IKQ	況
IKR	沖撞
IKS	潞西
IKT	削足适履
IKU	潰瘍
IKV	潰退
IKW	演唱會
IKX	㕾
IKY	海口市
ILA	戦
ILB	小圈子
ILC	溫柔
ILD	涸
ILE	渭
ILF	泴
ILG	泗
ILH	㳌
ILI	漯河
ILJ	単
ILK	洄
ILL	灅
ILM	溫嶺
ILN	潿
ILO	溫度
ILP	漣
ILQ	濁
ILR	漸
ILS	涃
ILT	溫和
ILU	溿
ILV	漊
ILW	泅
ILX	漯
ILY	溫州
IMA	澧
IMB	小冊子
IMC	測驗
IMD	湍
IME	滑
IMF	淍
IMG	油
IMH	汕
IMI	油漆
IMJ	測
IMK	尚
IML	油田
IMM	瀴
IMN	渦
IMO	油料
IMP	漴
IMQ	湍急
IMR	油气
IMS	尚可
IMT	溄
IMU	潂
IMW	涔
IMX	測繪
IMY	浿
INA	泯
INB	潺
INC	泥巴
IND	涺
INE	決勝
INF	漏
ING	渥
INH	湄
INI	漽
INK	浺
INL	瀷
INM	涮
INN	汜
INO	澱粉
INP	瀈
INQ	決然
INR	漝
INT	泌
INU	漏斗
INV	泦
INW	決
INX	泥
INY	沁
IOA	渡
IOB	海底隧道
IOD	水火不相容
IOG	澲
IOI	淡水
IOJ	瀍
IOK	渡口
IOL	瀵
IOM	渡過
ION	漉
IOO	淡
IOP	小康社會
IOQ	潾
IOR	輝煌的
IOS	灖
IOT	㲿
IOU	濂
IOV	溏
IOW	淡化
IOY	洣
IPA	瀽
IPB	
IPC	常務
IPD	浤
IPE	瀉
IPF	淙
IPG	濱
IPH	涫
IPI	常常
IPJ	溟
IPK	當
IPL	渾
IPM	峃
IPN	濘
IPO	深度
IPP	深邃
IPQ	沈
IPR	党的
IPS	栄
IPT	瀋
IPU	滓
IPV	洝
IPW	深
IPX	沱
IPY	深刻
IQA	汦
IQB	瀏陽
IQC	沒
IQD	澹
IQE	淊
IQF	溜走
IQG	淦
IQH	淡然處之
IQI	洮
IQJ	洵
IQK	浼
IQL	漠然置之
IQM	渙
IQN	泡
IQO	漁
IQP	濥
IQQ	沉甸甸
IQR	淘
IQS	盜權
IQT	漪
IQU	汮
IQV	浄
IQW	盜
IQX	涉外經濟
IQY	汐
IRA	黨的基本路線
IRB	派出
IRC	汳
IRD	淆
IRE	派
IRF	垽
IRG	泊
IRH	沂
IRI	洙
IRJ	激昂
IRK	派遣
IRL	潕
IRM	峾
IRN	汽
IRO	派對
IRP	少年之家
IRQ	溾
IRR	浙
IRT	渒
IRU	法製意識
IRV	溵
IRW	泆
IRX	濼
IRY	激
ISA	法西斯
ISB	溧陽
ISC	消极怠工
ISD	酒厂
ISE	涁
ISF	漂
ISG	酒
ISH	汀
ISI	江西省
ISJ	潭
ISK	河
ISL	河畔
ISM	河山
ISN	劣根性
ISO	潥
ISP	酒家
ISR	淅
ISS	淋
IST	漂移
ISU	河北
ISV	㴗
ISW	漆
ISX	湘鄉
ISY	沐
ITA	洚
ITB	沲
ITC	活動能力
ITD	活
ITE	少
ITF	浩
ITG	汼
ITH	省
ITI	潲
ITJ	浰
ITK	洛
ITL	洫
ITM	澳
ITN	汔
ITO	潘
ITP	活塞
ITQ	海外
ITR	涐
ITS	流行歌曲
ITT	毟
ITU	泈
ITV	潷
ITW	漎
ITX	海
ITY	汷
IUA	洴
IUB	溯
IUC	㶒
IUD	浂
IUE	湔
IUF	溬
IUG	泣
IUH	洋縣
IUI	河北省
IUJ	澗
IUK	涪
IUL	潧
IUM	潎
IUN	當前狀況
IUO	湴
IUP	法新社
IUQ	澬
IUR	灁
IUS	湭
IUT	浐
IUU	灍
IUV	淁
IUW	溢
IUX	滋
IUY	潣
IVA	潯
IVB	激怒了
IVC	溉
IVD	游刃有余
IVE	泿
IVF	潚
IVG	汝
IVH	濜
IVI	浸泡
IVJ	漅
IVK	沼
IVL	淄
IVM	梁山
IVN	氿
IVO	染料
IVP	浸
IVQ	染色
IVR	沼气
IVS	染
IVT	涒
IVU	染病
IVV	小姑娘
IVW	粱
IVY	澀
IWA	浌
IWB	小伙子
IWC	滃
IWD	洑
IWE	脊
IWF	泭
IWG	塗
IWH	滌
IWI	沿海
IWJ	準時
IWK	沿
IWL	潑墨
IWM	沿岸
IWN	㲹
IWO	濮
IWP	浴室
IWR	滏
IWS	脊柱
IWT	渢
IWU	氼
IWV	汾
IWW	浴
IWX	潑
IWY	淮
IXA	消費基金
IXB	渳
IXC	泓
IXD	漲
IXE	泑
IXF	消費者
IXG	澠
IXH	黨紀處分
IXI	消費水平
IXJ	沸
IXK	漒
IXL	黨紀國法
IXM	漲幅
IXQ	滯納金
IXS	常綠植物
IXT	省紀委
IXU	溺
IXV	黨組書記
IXW	濰
IXX	沘
IXY	消費市場
IYA	浪花
IYB	游子
IYC	流
IYD	流感
IYE	㳖
IYF	流域
IYG	乼
IYH	汴
IYI	浪潮
IYJ	済
IYK	淳
IYL	澶
IYM	注冊
IYN	滬
IYO	洂
IYP	游客
IYQ	注解
IYR	灕
IYS	洗衣机
IYT	洲
IYU	滴
IYV	浪
IYW	液
IYX	灣
IYY	汶
JAA	暱
JAB	昻
JAD	蟒
JAE	昮
JAF	畢
JAG	虹
JAH	蚜
JAI	蜡染
JAJ	㫒
JAK	蜮
JAL	蠛
JAM	蟥
JAN	蝶
JAO	畢業
JAP	蠓
JAQ	曔
JAR	顯著提高
JAS	最基本的
JAT	蠮
JAU	畢竟
JAV	蟏
JAW	暴
JAY	星期六
JBC	最
JBD	最大
JBE	朂
JBF	㫗
JBG	虸
JBH	㫞
JBI	蜬
JBJ	最早
JBK	蟶
JBL	蜢
JBM	昢
JBN	虵
JBP	最初
JBQ	最多
JBR	最近
JBT	最先
JBU	最新
JBV	最好
JBW	最佳
JBX	最終
JBY	昅
JCA	昪
JCC	蝃
JCE	蛹
JCJ	螞蟻
JCK	㬃
JCM	䝨
JCN	蚆
JCO	螞
JCQ	里通外國
JCR	暢通無阻
JCT	蛑
JCW	晙
JDA	蠣
JDB	蚅
JDC	蛂
JDD	是否有可能
JDE	蝴
JDF	晨
JDG	蛄
JDH	蚌
JDI	晨光
JDJ	昦
JDM	暊
JDN	晟
JDR	螈
JDS	是不可能的
JDT	是否符合
JDU	旲
JDW	蛺
JDX	昽
JDY	明确方向
JEA	日用工業品
JEB	蜉
JED	猒
JEE	蛠
JEF	冐
JEG	明
JEH	螋
JEI	暖流
JEJ	明星
JEK	日用品
JEL	盟
JEN	明快
JEO	焽
JEP	曖
JEQ	晲
JER	暚
JET	㫑
JEU	明辨
JEV	明媚
JEW	明令
JEX	螇
JEY	明亮
JFA	暁
JFB	時限
JFC	野
JFD	蠕
JFE	時興
JFF	蛙
JFG	晴雨表
JFH	旰
JFI	昧
JFJ	早
JFK	蟛
JFL	旱田
JFM	蝻
JFN	早已
JFO	黒
JFP	曀
JFQ	蚖
JFR	早年
JFS	時機
JFT	暑
JFU	蟽
JFV	果真如此
JFW	蚨
JFY	䖞
JGA	蚈
JGB	旽
JGC	蛭
JGD	昊
JGE	晴
JGF	旦
JGG	旺
JGH	題
JGI	蛷
JGJ	量
JGK	晤
JGL	暕
JGM	曬
JGO	量度
JGP	晴空
JGQ	敭
JGR	昨天的
JGS	昩
JGT	旺季
JGU	蚲
JGV	蛵
JGW	鴠
JGX	蛦
JGY	晴朗
JHA	曥
JHB	虫子
JHC	蚾
JHD	暃
JHE	冒用
JHF	冒
JHG	朄
JHH	刂
JHI	冒尖
JHJ	暢
JHK	申
JHM	＃
JHN	曰
JHO	冒火
JHP	迧
JHQ	蜆
JHR	冒失
JHS	申述
JHT	毷
JHU	申辦
JHW	明眼人
JHX	蟕
JHY	虲
JIA	蟝
JID	最深厚的
JIE	蛸
JIG	晃
JII	日光浴
JIJ	最清晰
JIM	㫾
JIO	日光燈
JIP	螳
JIR	最小的
JIT	日常生活
JIU	日常辦公
JIW	蝋
JIY	最深刻
JJA	曝
JJB	日子
JJD	昌盛
JJE	日用
JJF	昌
JJG	昍
JJH	蝐
JJI	日常
JJJ	晶
JJK	日中
JJL	蝹
JJM	晶體
JJN	明顯改善
JJO	焸
JJP	暥
JJQ	蠍
JJR	日后
JJS	蜾
JJT	暒
JJU	日前
JJV	明顯好轉
JJW	晶体
JJX	蜫
JJY	䖵
JKB	蟬聯
JKE	蜎
JKG	蜈
JKH	蚛
JKI	暗中活動
JKJ	早中晚
JKK	蟬
JKM	日喀則
JKP	野戰軍
JKQ	㫛
JKR	暗中摸索
JKT	最嚴重的
JKV	暴跳如雷
JLA	蟈
JLC	曼
JLE	蝟
JLF	昷
JLG	蠉
JLH	蛼
JLI	曙光
JLK	蛔
JLL	蠝
JLQ	蠋
JLR	螹
JLS	星羅棋布
JLT	蜠
JLV	螻
JLW	曼谷
JLX	螺
JLY	日思夜想
JMA	蛐
JMB	映出
JMD	映
JME	螖
JMF	蚺
JMG	蚰
JMH	愚
JMJ	旵
JMM	蠳
JMN	蝸
JMP	遇害
JMQ	愚鈍
JMR	蛧
JMT	映射
JMU	蝄
JMW	蚋
JMY	蛽
JND	蜛
JNF	野心勃勃
JNG	蛡
JNH	暇
JNI	曯
JNJ	時快時慢
JNK	暐
JNN	蟤
JNP	遢
JNR	旸
JNT	毾
JNW	曜
JNX	蚭
JNY	蚇
JOA	曠
JOC	昿
JOF	畢業考試
JOG	曗
JOI	最廣泛
JOJ	易燃易爆
JOM	畢業典禮
JON	螰
JOO	蠑
JOQ	暽
JOS	䗫
JOT	畢業生
JOU	炅
JOV	螗
JOW	畢業分配
JOY	炚
JPA	時空觀
JPD	曢
JPF	晥
JPG	暄
JPH	影視劇
JPJ	螟
JPK	最寶貴的
JPL	暈
JPN	曉之以理
JPO	蜂窩煤
JPQ	蜿
JPT	明察秋毫
JPV	晏
JPW	螲
JPX	蛇
JPY	㬕
JQA	曻
JQB	昂
JQD	蟾
JQE	蜭
JQF	易地
JQG	易于
JQH	晚上
JQI	晁
JQJ	㫬
JQK	晚
JQL	蜔
JQM	蝜
JQN	蚫
JQO	易燃
JQP	晚宴
JQQ	蛥
JQR	易
JQS	影印机
JQT	昴
JQU	昀
JQV	晚婚
JQW	歇
JQY	旳
JRB	蝬
JRC	昄
JRD	晞
JRE	最后胜利
JRF	最近十多年來
JRG	蝗
JRH	昕
JRI	蛛
JRL	蟱
JRM	㫼
JRN	暣
JRQ	螝
JRR	晣
JRT	蜱
JRW	昳
JRX	最近幾年
JRY	曒
JSD	顆
JSE	褁
JSF	螵
JSG	日本政府
JSH	虰
JSI	果
JSJ	曋
JSK	蚵
JSL	果園
JSM	果農
JSN	果敢
JSO	顆粒
JSP	照本宣科
JSQ	夥
JSR	晰
JSS	晽
JST	㪙
JSU	杲
JSW	蜙
JSX	果斷
JSY	蚞
JTA	昇
JTB	蜏
JTD	蜂
JTE	最後勝利
JTF	蜓
JTG	星
JTH	昨
JTI	星光
JTJ	蝮
JTK	蛒
JTL	螕
JTM	晌
JTN	虼
JTO	蟠
JTP	蜂蜜
JTQ	顯微鏡
JTR	蛾
JTS	最重要的
JTT	星系
JTU	蝌
JTV	蜲
JTW	暰
JTX	晦
JTY	暀
JUA	蛢
JUD	最新成果
JUE	曨
JUF	昱
JUG	蟻
JUH	日益頻繁
JUI	日益激烈的
JUJ	暗
JUK	暗中
JUL	㬝
JUM	日益豐富
JUN	日益改善
JUO	䗒
JUP	日益突出
JUQ	蠀
JUR	最新的
JUS	蝤
JUT	螏
JUU	時間差
JUV	螊
JUW	螠
JUX	晜
JUY	最新調查表明
JVA	蟳
JVB	旯
JVC	蝍
JVD	照面
JVE	蛝
JVF	妟
JVG	昭平
JVI	曃
JVJ	照明
JVK	照
JVL	蠟
JVO	照料
JVP	照實
JVR	最好的
JVS	照相
JVT	旫
JVU	照章
JVW	照例
JVY	照亮
JWA	蚮
JWB	冒風險
JWC	蚣
JWD	最偉大的
JWE	昣
JWF	暩
JWG	蛤
JWH	螩
JWI	㬰
JWJ	蚧
JWK	蛻
JWL	最低點
JWN	螄
JWO	愚公精神
JWR	蚥
JWT	晶体管
JWU	時代背景
JWV	昐
JWW	最低价
JWX	最低綱領
JWY	晗
JXA	顯著
JXB	㫐
JXC	蛛絲馬蹟
JXD	最強大
JXE	蚴
JXF	顯示
JXG	蠅
JXH	蚓
JXI	最經濟
JXJ	昲
JXK	顯貴
JXM	昆山
JXP	最終實現
JXQ	顯然
JXR	果斷措施
JXS	影響極壞
JXT	曏
JXW	昆侖
JXX	顯
JXY	曵
JYA	景觀
JYB	影院
JYC	蜟
JYD	ア
JYF	蠩
JYG	蛀
JYH	景頗
JYI	あ
JYJ	影星
JYK	影
JYL	蟺
JYM	景山
JYN	蝙
JYP	景宁
JYQ	景象
JYR	昘
JYS	℡
JYT	昉
JYU	旻
JYV	螂
JYW	蛟
JYX	蟀
JYY	蚊
KAA	中醫藥
KAB	中醫院
KAC	哄騙
KAD	嘶
KAE	中醫學
KAF	囈
KAG	叿
KAH	呀
KAI	中共黨員
KAJ	噶
KAK	嘞
KAL	喵
KAM	咂
KAN	喋
KAP	患難之交
KAQ	囌
KAR	哎
KAS	呆若木雞
KAT	哄笑
KAU	囒
KAV	中華書局
KAW	嗬
KAX	跨世紀
KAY	嚆
KBB	囁
KBC	㖩
KBE	唨
KBF	咠
KBG	吇
KBH	叩
KBI	㖤
KBK	吼叫
KBM	咄
KBN	吼
KBO	吸煙
KBQ	口出狂言
KBS	啊
KBT	嗤笑
KBU	中聯部
KBX	戢
KBY	吸
KCB	邑
KCC	嗓
KCE	嗵
KCG	串通一气
KCI	啜泣
KCJ	只能是
KCK	咍
KCN	吧
KCO	嗎
KCQ	吮
KCT	唉
KCU	嗓門
KCW	唆
KDA	咗
KDB	呃
KDC	吰
KDE	哊
KDF	喹
KDG	咕
KDH	嘎
KDI	吃不消
KDJ	喱
KDK	喊叫
KDL	吳邦國
KDM	順
KDN	哤
KDO	咴
KDQ	吃大鍋飯
KDR	嚴厲打擊
KDS	喊醒
KDT	嚦
KDU	嘹
KDW	唪
KDX	吐故納新
KDY	吠
KEA	哺乳期
KEB	哹
KEC	㖬
KED	另有
KEE	嗋
KEF	肙
KEG	咀
KEH	嗖
KEI	口服液
KEJ	剈
KEK	咖
KEL	嚼
KEM	戰爭賠償
KEN	口服心服
KEO	哺乳類
KEP	噯
KEQ	唲
KER	另
KES	啋
KET	叻
KEU	品學兼優
KEV	哸
KEW	鵑
KEX	嗘
KEY	另議
KFA	噴
KFB	哋
KFC	吱
KFD	嚅
KFF	哇
KFG	吐
KFH	嗔
KFI	味
KFJ	嘲
KFK	嘻
KFL	鄙
KFM	喃
KFN	嚋
KFO	嚇
KFP	嗦
KFR	中老年
KFS	吃老本
KFT	嗜
KFU	噠
KFV	嗜好
KFW	呋
KFY	吋
KGA	咞
KGB	噸
KGC	咥
KGD	另一面
KGE	哺
KGF	呈
KGG	㕵
KGH	嘕
KGI	中下游
KGJ	哽
KGK	嗽
KGL	號數
KGM	嘈
KGN	號
KGP	逞
KGQ	咧
KGR	唯一的
KGT	另一种
KGU	呯
KGV	啑
KGW	吨位
KGX	咦
KGY	另一方面
KHA	距
KHB	嚙
KHC	踴
KHD	跨
KHE	踩
KHF	躊
KHG	貴
KHH	趾
KHI	踏
KHJ	踢
KHK	中
KHL	盅
KHM	蹦
KHN	忠
KHO	踱
KHP	躥
KHQ	跑
KHR	跌
KHS	躚
KHT	蹤
