aaaa	工
jxhh	蚓
jxhr	最终目的
jxiy	最经济
jxje	昆明
jxjh	昆虫
jxjm	曊
jxma	昆曲
jxmm	昆山
jxnd	昆剧
jxnr	紧张局势
jxpg	最终实现
jxqs	螺丝钉
jxro	日经指数
jxtb	曏
jxud	紧张状态
jxuf	坚强意志
jxuu	紧张状况
jxwn	坚强领导
jxwx	昆仑
jxxb	昆
jxxf	蜌
jxxg	鹍
jxxn	蚍
jxxo	鵾
jxxr	蝔
jxxw	歞
jxyi	曵
jxyt	归结为
jyar	景区
jybb	影子
jybn	是为了
jybp	影院
jybw	是为了使
jyce	蜟
jyck	䖻
jycm	景观
jyct	㬚
jyda	影碟
jydp	ア
jydw	景泰
jydx	蛟龙
jyey	电话采访
jyfj	蠩
jyfp	明文规定
jyft	申请专利
jygc	景致
jyge	时刻表
jygg	蛀
jyhk	景点
jyia	景洪
jyib	最高法院
jyig	最高水平
jyim	最高涨幅
jyio	最高温度
jyip	あ
jyjg	蝙蝠
jyjh	蛴
jyji	㬌
jyjt	影星
jykb	蜳
jykd	电话号码
jyke	影
jyki	景
jykj	㔀
jykk	暠
jykm	颢
jyks	蝏
jykt	暾
jylg	蟺
jymm	景山
jymr	电话网
jymt	最高峰
jyna	蝙
jynh	䗈
jyni	昹
jynk	㬖
jynn	虻
jynt	时效性
jynw	晐
jyny	蜧
jyop	影迷
jypb	最为突出
jypy	影视
jyqc	景色
jyqg	影印
jyqk	景象
jyqt	电话银行
jyrc	螭
jyri	最高气温
jyrn	景气
jyrt	电话接线生
jyry	蚁
jysu	最高标准
jysw	电话机
jysy	℡
jytb	蝣
jyth	影片
jytq	景物
jyty	电话垂询
jyuk	景况
jyuq	最高奖
jyur	野蛮装卸
jyus	电话总机
jyut	日夜兼程
jyuy	螃
jyvb	螂
jyve	蜋
jywb	最高人民法院
jywf	晬
jywn	蚢
jywq	影像
jywr	蛟
jywu	昗
jyww	申请人
jywx	明朗化
jywy	电话会议
jyxb	最高级
jyxf	蟀
jyxg	最为强烈
jyxv	最高纪录
jyxw	最高纲领
jyxx	䘎
jyxy	昡
jyys	电话交换机
kaah	咬牙切齿
kaal	㘕
kaan	中医药管理局
kaax	中医药
kabp	中医院
kada	吃苦耐劳
kadf	哈萨克斯坦
kadk	喏
kadn	啿
kadq	哈萨克
kadr	嘶
kadu	吃苦在前
kadw	唭
kaei	口若悬河
kafg	咁
kafs	㖼
kagg	哐
kahl	嚂
kahm	㘋
kahq	囕
kaht	呀
kaik	中共党员
kaip	中医学
kajd	嗼
kajg	唶
kajj	囆
kajn	噶
kajs	叶落归根
kajy	噧
kaka	哎呀
kakb	中共中央国务院
kake	嘞
kakf	呕吐
kakg	㖪
kakk	中共中央政治局委员
kakm	中共中央
kakt	中共中央政治局常委
kakv	唠叨
kakx	㗾
kaky	中共中央总书记
kalg	喵
kamf	㗕
kamh	咂
kamy	唝
kann	呓
kans	喋
kape	唠
kaqh	㗣
kaqi	噶尔
kaqj	噆
kaqr	㖴
karr	顺藤摸瓜
karw	哄抢
kary	哎
kasc	呆若木鸡
katq	哓
kaud	吃苦头
kaui	囒
kaut	中共北京市委
kauy	中共北京市委书记
kawc	嚄
kawe	嚿
kawk	嗬
kaws	嗏
kawy	哄
kaxn	跨世纪
kayk	嚆
kbbc	吸取
kbbh	㖿
kbbn	听取了
kbbw	吸附
kbcc	嗫
kbcy	㖩
kbeg	唨
kbfy	吸取教训
kbgf	只限于
kbgx	吸毒
kbhj	嗤
kbib	㖤
kbim	吸油
kbir	听取汇报
kbkn	吼叫
kbmh	咄
kbnf	别出心裁
kbnh	吸收
kbnn	吼
kbol	吸烟
kbqb	㗦
kbqy	口出狂言
kbrv	吸热
kbry	听取批评
kbsk	啊
kbuk	中联部
kbum	听取意见
kbxh	吸引
kbxm	吸纳
kbxy	戢
kbym	贵阳市
kbyy	吸
kcbb	嗓子
kccc	啜
kcce	嘇
kccs	嗓
kceb	叹服
kcee	㗈
kcep	嗵
kcga	患难与共
kcgg	吗
kcgr	串通一气
kcjg	只能是
kckc	䣈
kckg	咍
kcnk	噊
kcns	㖻
kcor	㘐
kcpy	患难之交
kcqn	吮
kctd	唉
kctg	哞
kcth	叹息
kcuy	嗓门
kcwt	唆
kdag	咗
kdbf	吃不了兜着走
kdbn	呃
kdcy	吰
kddu	听而不闻
kdea	嘠
kdeb	喐
kdeg	哊
kden	别有用心
kdet	呖
kdfa	喯
kdfe	㖘
kdff	喹
kdfi	㖠
kdfj	只不过是
kdfn	喊声
kdfp	只不过
kdgy	喊
kdha	嘎
kdhb	囓
kdhc	㗞
kdhg	呸
kdhh	㕩
kdhi	噄
kdhn	嚖
kdht	嗄
kdhv	顺眼
kdhy	嘁
kdii	吃不消
kdjf	喱
kdjg	咟
kdjh	顺畅
kdjn	唵
kdjy	嚈
kdkk	顺口
kdkn	喊叫
kdlg	吴邦国
kdmd	喕
kdmh	咘
kdmj	㖇
kdmy	顺
kdny	顺心
kdoc	顺序
kdoi	顺应
kdoy	咴
kdpy	哒
kdqq	吃大锅饭
kdrk	路不拾遗
kdrt	顺手
kdrv	顺势
kdtf	顺德
kdtj	顺利
kdtv	中顾委
kdug	顺差
kdui	嘹
kduw	噘
kdwg	唪
kdwj	㖺
kdwk	别有风味
kdwr	顺风
kdwt	嗪
kdww	顺从
kdxu	吐故纳新
kdxy	咙
kdyk	嘹亮
kdyl	㗐
kdyr	顺义
kdys	只有这样
kdyy	吠
kead	哺乳期
kebg	哹
kebn	啂
kecy	㖬
kede	另有
kedv	吃力不讨好
keee	嗋
keeg	㗖
keek	另加
kefn	喝彩声
keft	哺乳动物
kefy	哷
kegc	别致
kegg	咀
kegy	瓹
kehc	嗖
keiy	口服液
kejf	别墅
kejg	别是
kejh	别
keke	咀嚼
kekg	咖
kekh	咖啡
keks	㗎
kelf	嚼
kelg	别国
kene	口服心服
keod	哺乳类
keoy	㘀
kepc	嗳
keqg	鹃
keqh	另外
keqk	别名
keqn	唲
keqv	别急
kerf	㗗
kerh	别看
kerj	别提
kerm	嗂
kern	另据
kerq	别的
kesu	别样
kesy	啋
ketg	另行
keth	别处
keto	噅
kevg	哸
keww	别人
kexd	嗘
keyu	别说
kfam	喷
kfan	跨越式发展
kfar	跨地区
kfbb	叶子
kfbk	别无出路
kfbm	喷出
kfbn	哋
kfcl	嗑
kfcy	吱
kfdj	嚅
kffg	哇
kffh	啩
kffi	㘑
kffk	吐露
kffn	吐露真情
kfft	喷雾
kfga	嘲弄
kfgq	跪地求饶
kfgx	鄙夷
kfhw	嗔
kfhy	唗
kfia	喷灌
kfii	喷水
kfis	喷洒
kfit	中南海
kfiy	味
kfje	嘲
kfji	唯才是举
kfjy	呼声最高
kfke	嘭
kfkf	喷嚏
kfkg	咭
kfkh	喷嘴
kfkk	嘻
kfkm	哮喘
kfkr	唉声叹气
kflb	鄙
kflk	啚
kfmf	喃
kfnf	嚋
kfnt	喷发
kfog	味精
kfoo	另起炉灶
kfor	口无遮拦
kfoy	哧
kfpb	哱
kfph	嚏
kfpi	嗦
kfpu	噎
kfpy	鄙视
kfqn	呒
kfrg	别无所求
kfrh	中老年
kfri	喷泉
kfrw	中老年人
kfsg	吃老本
kfsu	中直机关
kftb	嘟
kfth	叶片
kftj	嗜
kftk	别无生路
kftm	喷射
kftr	别无选择
kftt	嘲笑
kftx	咾
kfue	哭丧着脸
kfuf	啈
kfut	味道
kfuw	史无前例
kfvb	嗜好
kfwi	别无他法
kfwt	㖫
kfwy	呋
kfyg	㘊
kfyw	嘲讽
kgah	咞
kgbb	号子
kgbh	郢
kgbm	呈现出
kgbn	吨
kgbp	忠于职守
kgbt	喀麦隆
kgbw	足球队
kgcf	咥
kgcq	唯一能够
kgdc	号码
kgdd	㗺
kgdk	㖔
kgdm	另一面
kgdn	㖭
kgdu	吴
kgeb	哺乳
kgef	㗘
kgeg	吴县
kgey	哺
kgfh	吁
kgfn	足球场
kggm	呈现
kggn	噖
kgho	嘕
kghy	吓
kgia	吴江
kgiy	中下游
kgjg	咺
kgji	㖦
kgjr	哽
kgke	囔
kgkg	唔
kgkh	嗝
kgkj	喇
kgkl	哽咽
kgko	喇嘛
kgku	哣
kgkw	嗽
kglt	吃一堑长一智
kgmj	嘈
kgmw	听天由命
kgmx	囇
kgmy	啧
kgnb	号
kgne	饕
kgnf	㙱
kgng	鸮
kgnm	䪽
kgno	鴞
kgny	咓
kgog	哑
kgpa	足球赛
kgpd	逞
kgpl	忠于祖国
kgqe	号角
kgqh	号外
kgqj	咧
kgqm	嚽
kgqt	嗷
kgrb	呈报
kgrh	中青年
kgrq	唯一的
kgst	吴桥
kgtd	别开生面
kgtk	另一种
kgtq	号称
kgty	唛
kguf	呯
kguw	另一部分
kgvh	啑
kgvk	号召
kgvs	嘈杂
kgvv	啛
kgwg	吓倒
kgwu	吨位
kgwy	号令
kgxi	嗉
kgxw	咦
kgyc	哺育
kgyd	另一方面
kgyg	吁请
khaa	中式
khab	䠜
khad	中期
khae	噱
khaf	嘑
khag	嘘
khah	蹛
khai	中东
khaj	躇
khak	蹃
khal	嚧
kham	中英
khan	距
khaq	跷
khar	中欧
khas	蹀
khat	中医
khav	䟙
khaw	唬
khax	中药
khay	躏
khbb	路子
khbc	蹑
khbd	跟随
khbg	中卫
khbi	䠫
khbj	贵阳
khbn	踂
khbs	跥
khbu	路障
khbw	中队
khby	趿
khcc	䟾
khcf	䠁
khcg	跳马
khch	踊
khck	跆
khcn	嘴巴
khcs	蹂
khct	中牟
khcu	㕜
khcy	䟕
khdd	啡
khde	蹖
khdf	踌
khdg	跖
khdh	跌破
khdi	中耕
khdj	忠厚
khdk	踎
khdm	路面
khdn	跨
khdp	跶
khdr	中原
khdw	蹶
khdy	跋
khed	蹊
khee	蹈
khef	䟹
kheg	啃
kheh	中用
khek	跏
khem	䠛
khep	路边
khes	踩
khew	嘴脸
khfa	路霸
khfb	踋
khfc	跳动
khff	跬
khfg	中雨
khfh	跨越
khfi	跊
khfj	跃进
khfm	中南
khfn	中专
khfp	路过
khfq	跳远
khft	中考
khfw	趺
khfy	践
khga	趼
khgb	䣒
khgc	跌到
khgf	忠于
khgg	足球
khgh	咔
khgi	踈
khgj	蹧
khgl	踾
khgm	贵
khgo	中亚
khgp	遗
khgr	躎
khgs	别具一格
khgw	跠
khgx	中毒
khgy	跟班
khhc	跛
khhd	中非
khhe	中肯
khhf	踔
khhg	趾
khhh	中止
khhk	蹲点
khhm	忠贞
khhq	中餐
khhs	䠕
khhx	跐
khhy	躣
khia	中江
khie	贵溪
khif	中法
khih	跋涉
khii	跳水
khij	踏
khik	䠀
khin	遗漏
khip	中学
khit	跨省
khiy	中游
khjc	中坚
khjf	中暑
khjh	踶
khjj	中日
khjn	蹋
khjr	踢
khjs	踝
khjx	跩
khjy	踪影
khkf	中叶
khkg	呫
khkh	跟踪
khkk	路口
khkl	䠤
khkm	蹪
khkn	遗嘱
khkr	中听
khks	躁
khlf	盅
khlg	中国
khlj	躅
khlp	蹥
khlt	䠅
khmd	中央
khme	蹦
khmf	贵贱
khmg	跚
khmh	䟖
khmj	踹
khmk	踻
khmm	中山
khmq	足见
khmw	䟜
khmy	䟺
khna	䟨
khnc	䠍
khnd	踞
khne	蹍
khnf	中层
khnj	䠧
khnm	䠇
khnn	跽
khnt	中性
khnu	忠
khnw	趹
khnx	跜
khny	中心
khoa	跨度
khob	噛
khoc	踱
khof	躔
khoh	蹸
khok	踮
khon	中断
khos	路灯
khov	路数
khow	蹼
khox	蹗
khpb	踠
khph	蹿
khpi	踪
khpj	蹜
khpk	迚
khpn	䠉
khpr	贵宾
khpu	忠实
khpx	跎
khpy	䠚
khqa	䟗
khqb	跪
khqe	嘴角
khqh	中外
khqi	跳
khqj	中旬
khqk	足够
khql	中甸
khqn	跑
khqo	踘
khqq	跢
khqt	中锋
khqy	趵
khrc	遣返
khrf	䠋
khrg	䟬
khrh	中年
khri	跦
khrl	跳舞
khrm	踬
khrq	中的
khrr	䟷
khrt	躈
khrw	跌
khrx	中指
khry	跅
khsa	中枢
khsf	中标
khsg	中西
khsh	䟓
khsi	中档
khsk	跒
khsn	蹮
khso	跳楼
khsp	︵
khsr	跳板
khsy	中校
khtc	路径
khtd	跃
khte	中盘
khtf	踵
khtg	鹭
khth	路牌
khti	跞
khtj	䠦
khtk	路
khtl	蹯
khtm	躜
khtn	趷
khto	中秋
khtp	跹
khtq	跣
khtr	呈上升趋势
khts	䟰
khtv	踒
khtx	踇
khty	踽
khua	蹉
khub	踯
khud	跟头
khue	跟前
khuf	蹲
khug	中美
khui	躝
khuj	蹭
khuk	踣
khun	躢
khuo	䠮
khuq	中将
khut	遗产
khuu	中立
khuv	踥
khux	路北
khuy	躙
khve	跟
khvf	遗孀
khvi	䟿
khvn	躐
khvp	踺
khwa	踚
khwb	啮
khwc	跉
khwd	路段
khwe	跈
khwf	跗
khwg	中途
khwh	踨
khwj	中介
khwk	跲
khwn	趻
khwq	遗像
khwr	中风
khws	跺
khwt	中俄
khwu	蹬
khwx	中华
khwy	趴
khxb	中级
khxf	跸
khxg	躖
khxh	嘴
khxi	㗪
khxj	路费
khxm	蹞
khxn	呲
khxo	中继
khxs	喍
khya	蹁
khyc	躞
khyd	忠诚
khye	踉
khyf	踤
khyg	跓
khyh	蹄
khyj	跻
khyk	跳高
khyn	跑遍
khyo	足迹
khyq	䟲
khyr	跤
khyt	贵州
khyu	路旁
khyv	忠良
khyw	䟘
khyy	蹴
kidg	顺流而下
kidq	鄂温克
kids	中流砥柱
kidt	川流不息
kidy	鄂温克族自治旗
kieg	哨
kiek	吵架
kifj	中学教师
kify	中小城市
kiga	中小型
kigq	咣
kihc	啵
kihv	嘙
kiin	跳梁小丑
kiip	中小学
kiis	中小学校
kiit	中小学生
kiiv	响当当
kijs	吃水果
kikm	唢呐
kimy	唢
kipf	嘡
kirg	哨兵
kirn	哨所
kirt	顺水推舟
kisg	吵醒
kitg	中学生
kith	㗂
kitt	吵
kitu	跨学科
kitx	嗨
kiuw	品学兼优
kiuy	吵闹
kiwa	㘍
kiwn	顺水人情
kiwo	中小企业
kjai	嚗
kjbc	嘬
kjca	唱戏
kjej	中坚力量
kjep	唱腔
kjes	喝彩
kjfg	哩
kjfh	哻
kjgg	呾
kjgh	㖷
kjgr	啺
kjhh	呻
kjis	喝酒
kjjg	唱
kjkw	呻吟
kjlg	嗢
kjmy	喁
kjnb	黾
kjnh	口是心非
kjqd	虽然
kjqf	顺时针
kjqn	喝
kjrq	吃里爬外
kjsg	嗮
kjsk	唱歌
kjth	唱片
kjug	喅
kjut	中日关系
kjxt	㖂
kjyu	虽说
kkak	噐
kkbb	口子
kkbh	郘
kkbu	串联
kkce	踊跃参加
kkcg	骂
kkcn	唈
kkco	駡
kkde	患有
kkdh	呼呼大睡
kkdk	器
kkdt	哈哈大笑
kkdu	踌躇不前
kkdw	喋喋不休
kkdy	哭
kkeb	口服
kkej	哵
kkep	口腔
kkfb	鄂
kkff	口口声声
kkfg	鹗
kkfj	㓵
kkfm	颚
kkfn	噪声
kkfp	遌
kkfq	覨
kkft	患者
kkfy	哑口无言
kkgj	口中一川三个竖
kkgn	呺
kkgt	吃喝玩乐
kkgw	咄咄逼人
kkhk	串
kkhm	嘳
kkhn	患
kkhw	器具
kkhy	哫
kkif	踌躇满志
kkii	口水
kkij	口渴
kkin	喀喇沁左翼
kkip	品尝
kkiq	顺口溜
kkiu	哭泣
kkiv	吕梁
kkiy	喀喇沁旗
kkjk	丳
kkkb	鄵
kkkd	哭喊
kkkf	品
kkkg	口号
kkkh	口中
kkki	口哨
kkkj	劋
kkkk	口
kkkl	嘽
kkkm	喦
kkkn	呼叫中心
kkkq	口吻
kkks	噪
kkkt	㘙
kkle	辴
kklf	㽞
kklh	器皿
kklk	嘼
kkln	鼍
kklo	鷤
kklp	串连
kkmd	口岸
kkme	蹉跎岁月
kkmw	
kkng	咄咄怪事
kknk	嘂
kknn	呼吁书
kknt	品性
kkod	品类
kkoy	口粮
kkpf	斝
kkph	器官
kkpp	踏踏实实
kkpu	口实
kkpy	口福
kkqe	口角
kkqh	口外
kkqk	品名
kkqn	呪
kkre	口授
kkrf	品质
kkrn	口气
kkrq	踊跃报名
kkrr	跌跌撞撞
kksa	器械
kksf	器材
kksg	鄂西
kkss	槑
kkst	品格
kksy	口述
kktc	口径
kktd	口舌
kktf	品德
kktg	串行
kkth	品牌
kktk	品种
kktn	器乐
kktp	品管
kktq	器物
kktx	呼吸系统
kkub	䣞
kkud	口头
kkug	患病
kkuj	噪音
kkup	遻
kkut	㖾
kkuu	吵吵闹闹
kkuy	串门
kkvf	咆哮如雷
kkvt	㖐
kkwa	口袋
kkwb	咒
kkwf	叱咤风云
kkwr	吃喝风
kkwt	器件
kkwu	品位
kkwy	口令
kkxb	品级
kkxt	嚣张
kkyg	口语
kkyh	喌
kkyr	哭诉
kkyt	鄂州
kkyy	唯唯诺诺
klag	嘓
klai	中国共产党
klal	中国共产主义青年团
klap	中国工农红军
klar	中国共产党领导的
klat	中国工商银行
klaw	中国革命
klax	中国工人阶级
klbw	中国队
klce	中国通
kldk	中国历史
kldn	嗯
kldy	咽
kleg	喟
klff	嚜
klfk	嚸
klfn	中国专利局
klfo	嘿
klfy	啭
klge	喂
klgi	中国致公党
klgl	中国画
klgn	中国画展
klgo	中国政府
klgr	中国青年
klgy	啯
klib	中国少年先锋队
klin	中国海洋石油总公司
klip	嚃
kliw	中国汽车工业联合会
kljw	中国电信
klkw	咽喉
kllc	中国国际广播电台
klln	中国国际信托投资公司
kllw	中国软件行业协会
klmg	中国内政
klmy	嘪
klnj	中国民主同盟
klnn	中国民用航空局
klnt	中国民航
klnw	中国民主促进会
klon	中国烟草总公司
klpb	中国社会科学院
klpi	中国农工民主党
klpt	中国农业银行
klpy	嗹
klqj	噣
klqn	中国包装总公司
klqt	中国银行
klqy	啰
klrq	中国的
klsn	中国核工业总公司
klta	中国入世
kltb	中国科学院
kltf	中国科协
klti	中国科技大学
kltn	中国船舶工业总公司
kltq	中国特色
kltw	中国科学技术协会
klty	㖥
kluf	喂养
klup	嚺
klvn	中国建筑工程总公司
klvv	中国妇女
klwi	中国人民大学
klwn	中国人民
klwo	跨国企业
klwp	中国人民解放军
klwt	中国人民银行
klww	中国人
klwx	中国传统
klwy	中国人民政治协商会议
klxn	中国统配煤矿总公司
klxw	中国红十字会
klyi	中国文学
klyt	中国话
klyw	中国文化
klyx	中国文化传统
kmaa	员工
kmag	㖆
kmak	嗣
kman	中央警卫局
kmaw	唺
kmay	中央工作会议
kmbh	郧
kmct	中央预算
kmcu	中央对外联络部
kmdf	嘊
kmdg	啱
kmdj	喘
kmdm	䫟
kmdy	咉
kmed	中央办公厅
kmee	嘣
kmeg	嗗
kmet	勋
kmfg	呥
kmfk	啁
kmfu	中央直属机关
kmfw	中央直属机关工作委员会
kmgd	吊环
kmgk	中央政治局委员
kmgn	中央政治局
kmgo	中央政府
kmhj	吊
kmhq	䚋
kmii	跋山涉水
kmip	中央党史研究室
kmis	中央党校
kmit	中央常委
kmjc	中央电视台
kmkd	呐喊
kmkk	路由器
kmky	吊唁
kmlg	吊车
kmlu	中央国家机关
kmlw	中央国家机关工作委员会
kmmv	嘤
kmnk	喎
kmnn	中央情报局
kmnp	㗻
kmnt	中央书记处
kmop	中央精神
kmpl	中央军
kmpo	中央军委副主席
kmpt	中央军委
kmpu	中央宣传部
kmpw	中央军事委员会
kmpy	中央社
kmqi	吊销
kmqt	中央银行
kmqy	哕
kmrc	中央气象台
kmrn	喘气
kmrq	中央的
kmst	吊桥
kmsu	中央机关
kmth	喘息
kmtk	中央委员
kmtt	中央各部委
kmtw	中央委员会
kmty	中央委员会总书记
kmuf	吊装
kmuj	勋章
kmup	中央决定
kmwc	中央人民广播电台
kmwf	中央领导同志
kmwj	剐
kmwn	㖗
kmwo	鶰
kmws	中央集权
kmwu	呙
kmww	中央全会
kmwy	呐
kmxk	中央纪委委员
kmxn	中央编译局
kmxt	中央纪委
kmxu	中央统战部
kmxw	中央纪律检查委员会
kmxx	㗀
kmyo	中央主席
kmyp	中央文献研究室
kmyw	中央文件
knad	叫苦
knar	中心区
knau	吃尽苦头
knbb	忠心耿耿
knbm	啒
knbt	噉
knce	哪能
kndg	啹
knfn	叫卖
knfy	中心城市
knga	中心环节
kngb	哪
kngf	喔
kngg	叼
kngk	呞
kngw	呉
knhc	㗇
knhf	吜
knhh	叫
knhx	哪些
knit	呕心沥血
knjf	哪里
knkd	叫喊
knkf	噼
knkh	喡
knkt	另辟蹊径
knkw	嘱咐
knls	中心思想
knmj	唰
knmp	中心内容
knna	呡
knnj	㗃
knnr	哪怕
knnw	噀
know	叫座
knqt	哪儿
knqu	吸收外资
knrg	㗩
knrj	遗憾的是
knrt	嘱托
kntg	跃居第一
kntt	咇
knty	嘱
knuw	跃居首位
knvb	叫好
knwd	叫做
knwe	嘐
knwh	哪个
knwt	中心任务
knwy	吷
knxa	呢绒
knxe	中心组
knxn	呢
knxq	叫绝
knyf	唯心主义者
knyw	唯心论
knyy	唯心主义
koac	喥
koao	嗻
koaw	嚝
kobn	顺应了
kogf	嚉
kogi	㗼
kogw	噗
kohx	㖢
koii	顺应潮流
koos	㘇
koow	㗵
kooy	啖
kopu	中庸之道
koqh	噒
kosd	嚰
kosr	嚤
koss	嘛
kosx	嚒
kovg	喽
kovh	嘃
kpaf	噻
kpam	㗷
kpdk	嗐
kpdy	喧宾夺主
kpew	口蜜腹剑
kpey	哝
kpfq	唍
kpgf	㗌
kpgg	喧
kpgh	啶
kpkk	喧嚣
kpkn	鸣冤叫屈
kpkw	喧哗
kplh	喗
kpnm	嘧
kpnt	嗤之以鼻
kpqb	啘
kpqn	㕪
kpsh	咛
kpta	咤
kptg	哰
kptk	喀
kpuj	嘘寒问暖
kpuk	中宣部
kpuy	喧闹
kpvg	咹
kpwa	啌
kpwb	呼之欲出
kpwf	喀什
kpwg	忠实代表
kpwi	嚓
kpwj	噾
kpwn	㕴
kpwp	听之任之
kpxn	咜
kqaj	㖧
kqay	呧
kqbt	㗙
kqcw	中外观众
kqdd	另外还有
kqdo	嘫
kqdw	吹奏
kqdy	噡
kqef	嘝
kqeh	唃
kqfh	唤起
kqfq	只争朝夕
kqgj	噜
kqgu	鸣锣开道
kqip	哈尔滨
kqiy	哈尔滨市
kqjg	咰
kqkf	哆嗦
kqkg	呴
kqkh	吹嘘
kqkk	吃饱喝足
kqkl	呜咽
kqko	喣
kqkq	㒭
kqky	嚵
kqmd	唤
kqng	呜
kqnn	咆
kqpj	吃饱穿暖
kqqc	唱独角戏
kqqy	哆
kqrb	哅
kqrd	吹捧
kqrm	啕
kqrn	唿
kqrq	遗留的
kqrt	吻
kqrx	吹拂
kqsg	唤醒
kqsw	鸣枪
kqta	兄长
kqtg	吹牛
kqto	吐鲁番
kqug	呁
kqux	兄弟
kqvf	兄妹
kqvn	喼
kqwg	吻合
kqwo	中外合资企业
kqwq	吻你
kqwr	吹风
kqwu	中外合资
kqww	中外合作
kqwy	吹
kqxh	跃然纸上
kqyf	中外记者
kqyg	鸣
kqyi	吊儿郎当
kqyj	嚠
kqyn	吹遍
kraa	喷气式
kran	唣
krbc	听取
krbh	㕳
krcy	呱
krdc	㖁
krdf	嗥
krdh	唏
krdu	顺手牵羊
krdy	鄂托克旗
kren	听力
krey	哌
krfh	唕
krfv	品质超群
krgc	听到
krgg	喤
krgk	㖃
krhf	哖
krhw	嗁
krif	噑
krip	史学
kris	啤酒
kriy	咮
krke	蹑手蹑脚
krmf	嚹
krmm	史册
krmq	听见
krnn	史书
krou	史料
krpu	史实
krqy	啲
krrg	啪
krrh	哳
krru	另据报道
krsh	咑
krst	唾手可得
krtd	史籍
krtf	啤
krtr	品质管制
krtw	哄抬物价
kruf	唞
krug	啦
krwt	听任
krww	听众
krwy	听信
krxb	喞
krxs	嚛
kryf	史诗
kryg	听证
kryj	听课
kryt	听话
kryu	听说
ksaw	中西医结合
ksce	只要能
ksdg	喖
ksfg	㖶
ksfi	嘌
ksgg	呠
ksgm	别树一帜
ksig	呆滞
ksiv	叮当
ksjf	嘾
ksjg	喳
kskg	呵
kskn	叮嘱
kskp	叮咛
ksly	㘄
ksmh	呆帐
kspx	中枢神经
ksrh	唽
kssi	噤
kssr	呆板
kssy	啉
ksuw	喝西北风
ksvg	喓
ksww	唻
ktab	中秋节
ktad	吃苦
ktah	呏
ktan	吒
ktaw	噬
ktbp	中科院
ktbt	唀
ktct	另行通知
ktdg	咶
ktdh	㖓
ktdk	嘺
ktdt	哭笑不得
ktdy	㕭
kten	吃力
ktfe	喢
ktff	响彻云霄
ktfg	唾
ktfh	响起
ktfj	顺我者昌
ktfk	哠
ktfm	囋
ktfn	呼声
ktfp	另行规定
ktft	顺利进行
ktfy	中等城市
ktge	㗢
ktgf	跻身于
ktgg	只身来到
ktgh	吽
ktgi	呼救
ktgo	嚑
ktgr	遗臭万年
ktgs	哘
ktgu	吹毛求疵
kthf	咋
kthg	咱
kthh	川
kthj	喒
kthp	唌
kthy	嗅
ktig	中等水平
ktii	响水
ktip	嗅觉
ktit	呼和浩特
ktiy	呼和浩特市
ktjc	吃紧
ktjf	嘚
ktjg	㗍
ktjh	唎
ktjl	唯利是图
ktkb	呼吸
ktkd	呼喊
ktkg	咯
ktkj	吃喝
ktkn	呼叫
ktkq	呼唤
ktkr	患得患失
ktkv	呼啸
ktly	囖
ktmd	噢
ktmk	响
ktnd	川剧
ktnn	吃
ktnx	中程导弹
ktny	吃惊
ktog	跨行业
ktoi	响应
ktol	噃
kton	㗭
ktoy	啾
ktpd	顺利完成
ktpg	顺利实现
ktpq	口舌之争
ktpr	另行安排
ktpw	踏入社会
ktpy	路透社
ktqi	嚟
ktqn	吃饭
ktqq	叶利钦
ktqs	㘅
ktqu	唯我独尊
ktqy	足智多谋
ktrc	吹牛拍马
ktrh	吃掉
ktrs	㗸
ktry	哦
ktsw	呼机
ktta	响彻
kttb	吃透
kttd	㗛
kttj	吃香
kttk	贵重物品
kttq	顺乎自然
ktuf	呼
ktui	唯物辩证法
ktuy	咚
ktvb	㘉
ktvg	唩
ktwa	中秋佳节
ktwe	中和作用
ktwh	㗰
ktwk	㗳
ktwu	咱们
ktxh	啼笑皆非
ktyc	唾弃
ktyf	唯物主义者
ktyg	吃请
ktyi	品德高尚
ktyk	响亮
ktyw	唯物论
ktyy	唯物主义
kube	嗍
kubx	中产阶级
kudb	啳
kudr	中美三个联合公报
kudy	咲
kueg	㗴
kufc	嗴
kufh	呌
kufq	唴
kuga	嗟
kugh	咩
kugi	㘓
kugo	㗝
kugt	中立政策
kuhh	吖
kuiy	中美洲
kujf	噇
kujg	喑
kujn	噫
kujw	噷
kukg	㖣
kukq	哾
kulh	啴
kulj	噌
kulp	中立国家
kunf	中间层
kunt	
kuny	兄弟民族
kupy	口头禅
kuqe	嚪
kusa	中关村科技园区
kusf	中关村
kusk	㗿
kusq	嚫
kusr	噺
kuss	中资机构
kute	兄弟般
kutm	㘖
kutu	遗产税
kuut	中美关系
kuuy	跨部门
kuvg	唼
kuvo	嗛
kuvv	兄弟姐妹
kuwc	唥
kuwl	嗌
kuww	中间人
kuxn	㘂
kuxt	㖒
kuxx	嗞
kuyk	品头论足
kvaf	噚
kvcb	唧
kvcq	嘅
kvcy	呶
kvdu	嗜好成癖
kven	号召力
kvey	哏
kvfg	㗲
kvfy	㖊
kvgh	㖀
kvhl	嚍
kvij	啸
kviy	㖨
kvkc	嗈
kvoj	嘨
kvpc	唚
kvtt	吚
kvwe	䬭
kwad	唯其
kwat	遗传工程
kwbn	呛
kwbp	哗众取宠
kwbv	只限
kwce	只能
kwcn	嗡
kwcy	吺
kwdb	只顾
kwde	只有
